delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,7,LA MISION,CALLE MISIÓN DE SANTO TOMÁS,
OTROS DELITOS,CELAYA,2021,ENERO,7,LINDAVISTA,CALLE JAZMÍN,
AMENAZAS,CELAYA,2021,ENERO,11,EL CARMEN,CALLE GENERAL IGNACIO ALLENDE,
OTROS DELITOS,CELAYA,2021,ENERO,8,NUEVO CELAYA,CALLE INGENIERO GUSTAVO CÁRDENAS NORIEGA,
ROBOS DIVERSOS,CELAYA,2021,ENERO,7,VALLE HERMOSO,AVENIDA TECNOLÓGICO,SIN VIOLENCIA
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2021,ENERO,8,ALAMEDA,CALLE GUADALUPE VICTORIA,
OTROS DELITOS,CELAYA,2021,ENERO,8,LOS OLIVOS SEGUNDA SECCION,NO CATALOGADO,
AMENAZAS,CELAYA,2021,ENERO,8,ZONA CENTRO,CALLE JOSÉ MARÍA MORELOS,
OTROS DELITOS,CELAYA,2021,ENERO,7,REAL DEL CAMPESTRE,CALLE DE LA PURÍSIMA,
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,9,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2021,ENERO,9,DEL BOSQUE,CALLE CORCHO,CON VIOLENCIA
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,9,LAGOS,PROLONGACIÓN MONTE TAURO,SIN VIOLENCIA
AMENAZAS,CELAYA,2021,ENERO,10,JARDINES DE CELAYA 1 RA SECC,AVENIDA TRES GUERRAS,
DAÑOS,CELAYA,2021,ENERO,9,LOS FRESNOS,NO CATALOGADO,
OTROS DELITOS,CELAYA,2021,ENERO,9,RESIDENCIAL CAMPANARIO,AUTOPISTA DE PEAJE SALAMANCA-CELAYA,
HOMICIDIO DOLOSO,CELAYA,2021,ENERO,9,NO CATALOGADO,NO CATALOGADO,
ROBO A NEGOCIO,CELAYA,2021,ENERO,10,INDUSTRIAL,AVENIDA PONIENTE 2,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2021,ENERO,4,NO CATALOGADO,EJE NORTE ORIENTE,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2021,ENERO,4,LAGOS,CALLE PASEO DE SAN NICOLÁS DE PARRA,CON VIOLENCIA
OTROS DELITOS,CELAYA,2021,ENERO,4,EMILIANO ZAPATA,CALLE HERIBERTO JARA,
ROBOS DIVERSOS,CELAYA,2021,ENERO,4,GUADALUPE,CALLE QUINTANA ROO,SIN VIOLENCIA
LESIONES DOLOSAS,CELAYA,2021,ENERO,4,LA AURORA,CALLE GALEANA,
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,4,CONSTIYUYENTES,2A. PROLONGACIÓN IGNACION ALLENDE,
ROBO A NEGOCIO,CELAYA,2021,ENERO,4,ALAMOS,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,CON VIOLENCIA
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2021,ENERO,4,LIBERACION,CALLE CUAUHTÉMOC,
ROBO A NEGOCIO,CELAYA,2021,ENERO,4,ZONA DE ORO DEL BAJIO,CALLE BRONCE,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2021,ENERO,5,SAN GABRIEL,RAYO DE SOL,SIN VIOLENCIA
FRAUDE,CELAYA,2021,ENERO,8,SAN RAFAEL,AVENIDA SAN RAFAÉL,
OTROS DELITOS,CELAYA,2021,ENERO,4,ARBOLEDAS DE SAN RAFAEL,AVENIDA UNIVERSIDAD,
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,4,ARBOLEDAS DE CAMARGO,CALLE PIRUL,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2021,ENERO,4,SANTIAGO DE LA CRUZ,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2021,ENERO,8,LA JOYITA,NO CATALOGADO,CON VIOLENCIA
AMENAZAS,CELAYA,2021,ENERO,8,VILLAS DEL ROCIO,PRIVADA CHAPULTEPEC,
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,8,SANTALUCIA TRES,CALLE CABALLO BLANCO,CON VIOLENCIA
DAÑOS,CELAYA,2021,ENERO,7,ALAMEDA,CALLE GUADALUPE VICTORIA,
ROBO A NEGOCIO,CELAYA,2021,ENERO,7,LA AURORA,CALLE FELIPE ÁNGELES,CON VIOLENCIA
DAÑOS,CELAYA,2021,ENERO,4,LA MERCED,PROLONGACIÓN ALDAMA,
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,4,JARDINES DE CELAYA 2 DA SECC,CALLE MAGNOLIA,CON VIOLENCIA
FRAUDE,CELAYA,2021,ENERO,4,LA HERRADURA,CALLE COL,
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,DE SANTO CRISTO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,12,LA HERRADURA,CALLE COL,
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,NO CATALOGADO,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA
