delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
CONTRA LA SALUD,CELAYA,2024,ENERO,7,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,CAMELIA,
ROBO A NEGOCIO,CELAYA,2024,ENERO,9,IMPERIAL CELAYA GUANAJUATO,NO CATALOGADO,CON VIOLENCIA
OTROS DELITOS,CELAYA,2024,ENERO,30,JARDINES DE CELAYA 1RA SECCIÓN CELAYA GUANAJUATO,PASEO DE GUANAJUATO,
DESPOJO,CELAYA,2024,ENERO,31,SAN JUAN DE LA VEGA SAN JUAN DE LA VEGA GUANAJUATO,FRANCISCO I. MADERO,
OTROS DELITOS,CELAYA,2024,FEBRERO,19,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
OTROS DELITOS,CELAYA,2024,FEBRERO,16,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,16,CELAYA GUANAJUATO,EJE NOR-PONIENTE MANUEL J. CLOUTHIER,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,5,ALAMOS CELAYA GUANAJUATO,FAISÁN,SIN VIOLENCIA
DAÑOS,CELAYA,2024,FEBRERO,2,SANTA BARBARA CELAYA GUANAJUATO,CUNA DE LA INDEPENDENCIA,
CONTRA LA SALUD,CELAYA,2024,FEBRERO,3,CELAYA GUANAJUATO,NORTHEAST AXIS LUIS DONALDO COLOSIO,
FRAUDE,CELAYA,2024,FEBRERO,3,COLONIA CENTRO CELAYA GUANAJUATO,INDEPENDENCIA,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,3,COLONIA CENTRO CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA
CONTRA LA SALUD,CELAYA,2024,FEBRERO,19,CELAYA GUANAJUATO,VILLA DE LA FANTASÍA,
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,20,CELAYA GUANAJUATO,NO CATALOGADO,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2024,ENERO,12,CIUDAD INDUSTRIAL DE CELAYA CELAYA GUANAJUATO,PRESA ÁLVARO OBREGÓN,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2024,ENERO,26,VALLE DE LOS NARANJOS CELAYA GUANAJUATO,CALLE DE LOS VALLES,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2024,ENERO,28,EL PUESTO GUANAJUATO,NO CATALOGADO,
FRAUDE,CELAYA,2024,ENERO,18,SANTA MARIA CELAYA GUANAJUATO,PRIVADA DEL CARMEN,
OTROS DELITOS,CELAYA,2024,ENERO,25,EMILIANO ZAPATA CELAYA GUANAJUATO,AVENIDA ANENECUILCO,
OTROS DELITOS,CELAYA,2024,ENERO,12,BOSQUES DE LA ALAMEDA CELAYA GUANAJUATO,AMADOR SALAZAR,
AMENAZAS,CELAYA,2024,FEBRERO,9,EJIDAL CELAYA GUANAJUATO,EJIDO DE CANOAS,
HOMICIDIO DOLOSO,CELAYA,2024,FEBRERO,9,HACIENDA NATURA CELAYA GUANAJUATO,RIO AYUTLA,
OTROS DELITOS,CELAYA,2024,FEBRERO,8,GOBERNADORES CELAYA GUANAJUATO,CALLE SEVERO CASTILLO,
LESIONES DOLOSAS,CELAYA,2024,ENERO,18,BENITO JUÁREZ CELAYA GUANAJUATO,CANAL DE LABRADORES,
OTROS DELITOS,CELAYA,2024,ENERO,17,EMILIANO ZAPATA CELAYA GUANAJUATO,GENOVEVO DE LA O.,
ROBO A CASA HABITACIÓN,CELAYA,2024,ENERO,18,PUERTAS DE SANTA MARÍA CELAYA GUANAJUATO,GUANAJUATO 45D,SIN VIOLENCIA
FRAUDE,CELAYA,2024,ENERO,11,FOVISSSTE CELAYA GUANAJUATO,ALONSO DE ZURITA,
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,15,COLONIA CENTRO CELAYA GUANAJUATO,JOSÉ MARIA MORELOS,CON VIOLENCIA
FRAUDE,CELAYA,2024,FEBRERO,20,LA CRUZ CELAYA GUANAJUATO,LOS ANGELES,
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2024,FEBRERO,20,COLONIA CENTRO CELAYA GUANAJUATO,LICENCIADO ANDRÉS QUINTANA ROO,
DAÑOS,CELAYA,2024,FEBRERO,19,ALAMOS CELAYA GUANAJUATO,CALLE RUISEÑOR,
EXTORSION,CELAYA,2024,FEBRERO,19,CELAYA SANTA MARIA GUANAJUATO,NO CATALOGADO,
FRAUDE,CELAYA,2024,FEBRERO,19,VALLE DEL REAL CELAYA GUANAJUATO,REAL DEL SEMINARIO,
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,18,PROGRESO DE SOLIDARIDAD 2 CELAYA GUANAJUATO,RÍO SOTO LA MARINA,
OTROS DELITOS,CELAYA,2024,FEBRERO,17,COLONIA LOS ANGELES UNIDAD HABITACIONAL DE TIERRAS NEGRAS CELAYA GUANAJUATO,LOS AZTECAS,
OTROS DELITOS,CELAYA,2024,FEBRERO,18,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,HAYA,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,19,TENERÍA DEL SANTUARIO GUANAJUATO,LÁZARO CÁRDENAS,CON VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2024,FEBRERO,19,LOS NARANJOS CELAYA GUANAJUATO,DEL MORERO,CON VIOLENCIA
HOMICIDIO DOLOSO,CELAYA,2024,FEBRERO,19,SAN ANTONIO CELAYA GUANAJUATO,MIGUEL HIDALGO,
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,19,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,ARRAYANES,
AMENAZAS,CELAYA,2024,FEBRERO,19,EX. HDA. STA. MARIA DEL REFUGIO CELAYA GUANAJUATO,BOULEVARD JUAN PABLO II,
ROBO A CASA HABITACIÓN,CELAYA,2024,ENERO,11,ZONA DE ORO CELAYA GUANAJUATO,GALAXIA,SIN VIOLENCIA
FRAUDE,CELAYA,2024,ENERO,17,LOS NARANJOS CELAYA GUANAJUATO,CIRCUITO DE LOS CEREZOS,
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,8,BARRIO DEL ZAPOTE CELAYA GUANAJUATO,16 DE SEPTIEMBRE,
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,12,CAMPO AZUL CELAYA GUANAJUATO,CALLE CEBADA,
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2024,ENERO,15,ROQUE GUANAJUATO,LOS PINOS,
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,2,SANTA BARBARA CELAYA GUANAJUATO,CUNA DE LA INDEPENDENCIA,
CONTRA LA SALUD,CELAYA,2024,ENERO,10,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,ADELFA,
OTROS DELITOS,CELAYA,2024,ENERO,18,JARDINES DE CELAYA 1RA SECCIÓN CELAYA GUANAJUATO,PASEO DE GUANAJUATO,
ROBOS DIVERSOS,CELAYA,2024,ENERO,16,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,SIN VIOLENCIA
HOMICIDIO DOLOSO,CELAYA,2024,ENERO,3,CELAYA GUANAJUATO,RÍO NILO,
DAÑOS,CELAYA,2024,ENERO,8,SAN MARTIN DE CAMARGO CELAYA GUANAJUATO,CALLE AVENIDA REVOLUCIÓN,
OTROS DELITOS,CELAYA,2024,ENERO,5,EL VERGEL CELAYA GUANAJUATO,JOSÉ MARÍA PINO SUÁREZ,
OTROS DELITOS,CELAYA,2024,ENERO,8,TENERÍA DEL SANTUARIO GUANAJUATO,CALLE FRONTERA,
ROBO A CASA HABITACIÓN,CELAYA,2024,ENERO,10,SAN JUANICO CELAYA GUANAJUATO,AVENIDA BRILLANTE,SIN VIOLENCIA
OTROS DELITOS SEXUALES,CELAYA,2024,FEBRERO,14,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
DAÑOS,CELAYA,2024,FEBRERO,15,SANTA MARIA CELAYA GUANAJUATO,BOULEVARD JUAN PABLO II,
OTROS DELITOS,CELAYA,2024,FEBRERO,15,MONTE BLANCO CELAYA GUANAJUATO,PASEO DE SAN NICOLÁS DE PARRA,
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,20,1A LOS LAURELES CELAYA GUANAJUATO,FERROCARRIL CENTRAL,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2024,FEBRERO,20,SANTA ANITA CELAYA GUANAJUATO,VENUS,
DAÑOS,CELAYA,2024,FEBRERO,19,OBRERO MUNDIAL CELAYA GUANAJUATO,TAMPICO,
OTROS DELITOS,CELAYA,2024,FEBRERO,17,FOVISSSTE CELAYA GUANAJUATO,ANTONIO GARCÍA CUBAS,
HOMICIDIO DOLOSO,CELAYA,2024,FEBRERO,17,PASEO DEL CAMPESTRE CELAYA GUANAJUATO,DEL ARCE ROJO,
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,18,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2024,FEBRERO,19,JÁUREGUI GUANAJUATO,REFORMA,
AMENAZAS,CELAYA,2024,FEBRERO,14,LIBERACION CELAYA GUANAJUATO,CUAUHTÉMOC,
AMENAZAS,CELAYA,2024,FEBRERO,15,CAMPO AZUL CELAYA GUANAJUATO,AVENIDA HIERBABUENA,
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,18,SAN JUAN DE LA VEGA SAN JUAN DE LA VEGA GUANAJUATO,CALLE TENOCHTITLAN,
ROBO A NEGOCIO,CELAYA,2024,ENERO,17,LOS LAURELES CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,CON VIOLENCIA
AMENAZAS,CELAYA,2024,ENERO,31,CELAYA GUANAJUATO,NO CATALOGADO,
AMENAZAS,CELAYA,2024,ENERO,7,BARRIO DE LA CRUZ RINCÓN DE TAMAYO GUANAJUATO,GENERAL EMILIANO ZAPATA,
OTROS DELITOS SEXUALES,CELAYA,2024,ENERO,6,EMILIANO ZAPATA CELAYA GUANAJUATO,CALLE AURELIO BONILLA,
ABUSO DE CONFIANZA,CELAYA,2024,ENERO,11,SAN JUAN CELAYA GUANAJUATO,AVENIDA CONSTITUYENTES,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,17,COLONIA CENTRO CELAYA GUANAJUATO,COLUNGA GUERRERO,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,17,CELAYA GUANAJUATO,DE LOS ENCINOS,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,18,ALAMEDA CELAYA GUANAJUATO,NO CATALOGADO,SIN VIOLENCIA
ROBO A CASA HABITACIÓN,CELAYA,2024,ENERO,23,BOSQUES DE LA ALAMEDA CELAYA GUANAJUATO,FRANCISCO PACHECO,SIN VIOLENCIA
LESIONES DOLOSAS,CELAYA,2024,ENERO,22,ALAMOS CELAYA GUANAJUATO,FLOR DE DURAZNO,
OTROS DELITOS,CELAYA,2024,ENERO,12,BARRIO DE LA CRUZ RINCÓN DE TAMAYO GUANAJUATO,INDEPENDENCIA,
ROBO DE VEHÍCULO,CELAYA,2024,ENERO,17,EMILIANO ZAPATA CELAYA GUANAJUATO,GRACIANO SÁNCHEZ,SIN VIOLENCIA
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2024,ENERO,17,RENACIMIENTO CELAYA GUANAJUATO,MIGUEL HIDALGO,
AMENAZAS,CELAYA,2024,ENERO,23,SAN JUAN DE LA VEGA GUANAJUATO SAN JUAN DE LA VEGA GUANAJUATO,CALLE ALVARO OBREGON CALLE ALVARO OBREGON,
DAÑOS,CELAYA,2024,ENERO,17,CELAYA GUANAJUATO,AVENIDA IRRIGACIÓN,
OTROS DELITOS,CELAYA,2024,ENERO,25,EL SAUZ GUANAJUATO,NO CATALOGADO,
LESIONES DOLOSAS,CELAYA,2024,ENERO,3,VILLA LOS ÁLAMOS SAN ISIDRO CRESPO GUANAJUATO,CALLE INDEPENDENCIA,
AMENAZAS,CELAYA,2024,ENERO,8,GUANAJUATO,SAN MIGUEL DE ALLENDE - CELAYA,
DAÑOS,CELAYA,2024,ENERO,16,GUANAJUATO,LIBRAMIENTO SUR DE CELAYA,
EXTORSION,CELAYA,2024,ENERO,16,EL VERGEL CELAYA GUANAJUATO,ANTONIO PLAZA,
DAÑOS,CELAYA,2024,FEBRERO,15,MISION SANTA FE CELAYA GUANAJUATO,AVENIDA MÉXICO JAPÓN,
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,16,SANTOS DEGOLLADO CELAYA GUANAJUATO,BOULEVARD FRIDA KAHLO,
HOMICIDIO CULPOSO,CELAYA,2024,FEBRERO,16,BARRIO DE SANTO CRISTO CELAYA GUANAJUATO,DIEGO RIVERA,
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,14,BAJIO DE LAS AMERICAS CELAYA GUANAJUATO,AMÉRICAS,
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,15,CAMPESTRE DE CELAYA CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,CON VIOLENCIA
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,15,LA SUIZA CELAYA GUANAJUATO,MUTUALISMO,
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,15,LOS OLIVOS CELAYA GUANAJUATO,CIRCUITO ANDALUCÍA,
OTROS DELITOS,CELAYA,2024,FEBRERO,15,INDUSTRIAL CELAYA GUANAJUATO,TOPOGRAFOS,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,15,COLONIA CENTRO CELAYA GUANAJUATO,ZARAGOZA,SIN VIOLENCIA
FRAUDE,CELAYA,2024,FEBRERO,19,PRIMERA FRACCIÓN DE CRESPO GUANAJUATO,NARANJO,
HOMICIDIO DOLOSO,CELAYA,2024,FEBRERO,20,HACIENDA NATURA CELAYA GUANAJUATO,PARQUE DEL CIMATARIO,
OTROS DELITOS,CELAYA,2024,FEBRERO,15,INDUSTRIAL CELAYA GUANAJUATO,TOPOGRAFOS,
DAÑOS,CELAYA,2024,FEBRERO,15,SANTA MARIA CELAYA GUANAJUATO,JUVENTINO ROSAS,
OTROS DELITOS,CELAYA,2024,FEBRERO,14,RESIDENCIAL DEL PARQUE CELAYA GUANAJUATO,MIGUEL HIDALGO,
DAÑOS,CELAYA,2024,FEBRERO,13,RANCHO SECO CELAYA GUANAJUATO,BOULEVARD JUAN PABLO II,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,15,VILLAS DE LA ESPERANZA CELAYA GUANAJUATO,LA ETERNIDAD,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2024,FEBRERO,15,CELAYA GUANAJUATO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,15,ALAMEDA CELAYA GUANAJUATO,NO CATALOGADO,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,14,LA FAVORITA CELAYA GUANAJUATO,ANILLO LUIS H. GONZÁLEZ,CON VIOLENCIA
OTROS DELITOS,CELAYA,2024,ENERO,30,EL GUAJE GUANAJUATO,VILLAGRÁN-CELAYA,
ROBOS DIVERSOS,CELAYA,2024,ENERO,22,EJIDAL CELAYA GUANAJUATO,EJIDO DE MICHINELAS,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,17,SAN JUAN DE LA VEGA GUANAJUATO,CALLE 5 DE MAYO ORIENTE,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2024,FEBRERO,17,CIUDAD INDUSTRIAL DE CELAYA CELAYA GUANAJUATO,NORTE II,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2024,ENERO,17,GIRASOLES CELAYA GUANAJUATO,SUR,SIN VIOLENCIA
AMENAZAS,CELAYA,2024,ENERO,18,SAN JOSÉ DE LA PRESA GUANAJUATO,AGUSTÍN I ITURBIDE,
LESIONES DOLOSAS,CELAYA,2024,ENERO,21,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
OTROS DELITOS,CELAYA,2024,ENERO,15,SANTA MARÍA DEL REFUGIO GUANAJUATO,GUSTAVO DÍAZ ORDAZ,
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,20,VALLE DE LOS NARANJOS CELAYA GUANAJUATO,DE LA PRADERA,
HOMICIDIO DOLOSO,CELAYA,2024,ENERO,13,LOS OLIVOS CELAYA GUANAJUATO,CIRCUITO MALLORCA,
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,10,PATRIA NUEVA COLONIA PATRIA NUEVA GUANAJUATO,18 DE MARZO,
DESPOJO,CELAYA,2024,ENERO,22,ROQUE GUANAJUATO,CALLE FRANCISCO I. MADERO,
DAÑOS,CELAYA,2024,FEBRERO,14,LA LUZ GUANAJUATO,JUVENTINO ROSAS,
AMENAZAS,CELAYA,2024,FEBRERO,14,LA LUZ GUANAJUATO,JUVENTINO ROSAS,
OTROS DELITOS,CELAYA,2024,FEBRERO,13,ALFREDO VAZQUEZ BONFIL CELAYA GUANAJUATO,PRESA BOQUERÓN,
DAÑOS,CELAYA,2024,FEBRERO,13,SAN JUAN CELAYA GUANAJUATO,AVENIDA CONSTITUYENTES,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,16,VILLAS DEL ROMERAL CELAYA GUANAJUATO,V.DEL PEDREG,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,15,LA MISION CELAYA GUANAJUATO,MISIÓN DE SAN PEDRO,
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,15,ALAMEDA CELAYA GUANAJUATO,NO CATALOGADO,CON VIOLENCIA
OTROS DELITOS,CELAYA,2024,FEBRERO,15,NO CATALOGADO,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,13,LOS OLIVOS CELAYA GUANAJUATO,SIERRA DE CARZOLA,
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,27,LAS INSURGENTES CELAYA GUANAJUATO,VICENTA ESPINOZA,
OTROS DELITOS,CELAYA,2024,ENERO,31,VILLAS DE LA HACIENDA CELAYA GUANAJUATO,VILLA DEL SOL,
ROBO A NEGOCIO,CELAYA,2024,ENERO,30,JARDINES DE CELAYA 1RA SECCIÓN CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,29,SANTOS DEGOLLADO CELAYA GUANAJUATO,PROLONGACION EMILIANO ZAPATA,
LESIONES DOLOSAS,CELAYA,2024,ENERO,15,VALLE HERMOSO CELAYA GUANAJUATO,MARGARITA,
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2024,ENERO,22,CELAYA GUANAJUATO,CIRCUITO OLIVO MILENARIO,
ROBO A CASA HABITACIÓN,CELAYA,2024,FEBRERO,19,CELAYA GUANAJUATO,CERRADA OSA MAYOR,SIN VIOLENCIA
HOMICIDIO DOLOSO,CELAYA,2024,FEBRERO,19,RINCONADA DEL BOSQUE CELAYA GUANAJUATO,DEL BOSQUE,
ROBO A NEGOCIO,CELAYA,2024,ENERO,17,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,17,ZONA INDUSTRIAL CELAYA GUANAJUATO,DEL REAL,
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2024,ENERO,29,CELAYA GUANAJUATO,PARQUE DEL CIMATARIO,
OTROS DELITOS,CELAYA,2024,ENERO,24,EL SAUZ GUANAJUATO EL SAUZ GUANAJUATO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2024,ENERO,15,COLONIA CENTRO CELAYA GUANAJUATO,DE ROSAS MORENO,
LESIONES DOLOSAS,CELAYA,2024,ENERO,6,RESURRECCIÓN APASEO EL GRANDE GUANAJUATO,FRANCISCO VILLA,
OTROS DELITOS,CELAYA,2024,ENERO,12,ALAMEDA CELAYA GUANAJUATO,NO CATALOGADO,
ROBO A NEGOCIO,CELAYA,2024,ENERO,15,LAS CASAS CELAYA GUANAJUATO,AVENIDA EL SAUZ,CON VIOLENCIA
LESIONES DOLOSAS,CELAYA,2024,ENERO,28,RINCONADA DEL BOSQUE CELAYA GUANAJUATO,DEL BOSQUE,
OTROS DELITOS,CELAYA,2024,ENERO,22,CENTRAL DE ABASTOS CELAYA GUANAJUATO,AVENIDA CONSTITUYENTES,
OTROS DELITOS,CELAYA,2024,ENERO,1,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
DAÑOS,CELAYA,2024,FEBRERO,24,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2024,FEBRERO,24,CIUDAD INDUSTRIAL DE CELAYA CELAYA GUANAJUATO,PRESA ÁLVARO OBREGÓN,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,24,CELAYA GUANAJUATO,PASEO DE LOS ALAMOS,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,25,COLONIA CENTRO CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,
DAÑOS,CELAYA,2024,FEBRERO,25,BARRIO DE SANTIAGUITO CELAYA GUANAJUATO,HERMENEGILDO GALEANA,
CONTRA LA SALUD,CELAYA,2024,FEBRERO,24,VALLE DEL REAL CELAYA GUANAJUATO,BOSQUES DEL REAL,
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,24,SAN RAFAEL CELAYA GUANAJUATO,CEDROS,
