delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,3,ZONA DE ORO CELAYA GUANAJUATO,ALBINO GARCÍA,SIN VIOLENCIA
LESIONES DOLOSAS,CELAYA,2024,ENERO,29,LAS FLORES CELAYA GUANAJUATO,PENSAMIENTO,
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,15,LA TRINIDAD GUANAJUATO,SAN MIGUEL,
ROBO A NEGOCIO,CELAYA,2024,ENERO,29,ZONA INDUSTRIAL CELAYA GUANAJUATO,EJE NOR-PONIENTE MANUEL J. CLOUTHIER,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2024,ENERO,30,3 GUERRAS CELAYA GUANAJUATO,CARRETERA A QUERETARO,CON VIOLENCIA
OTROS DELITOS,CELAYA,2024,ENERO,4,CELAYA GUANAJUATO,CALLE AVENIDA UNIVERSIDAD,
ROBO A NEGOCIO,CELAYA,2024,ENERO,20,LOS LAURELES CELAYA GUANAJUATO,AVENIDA EL SAUZ,SIN VIOLENCIA
FRAUDE,CELAYA,2024,FEBRERO,19,BENITO JUÁREZ CELAYA GUANAJUATO,PRESA ÁLVARO OBREGÓN,
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,19,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,TEPOZÁN,
ROBO DE VEHÍCULO,CELAYA,2024,FEBRERO,20,PRESA BLANCA GUANAJUATO,MELCHOR OCAMPO,SIN VIOLENCIA
LESIONES DOLOSAS,CELAYA,2024,ENERO,9,VIÑAS DE LA HERRADURA CELAYA GUANAJUATO,BETABEL,
HOMICIDIO CULPOSO,CELAYA,2024,ENERO,16,SANTA TERESA GUANAJUATO,GUADALUPE,
DAÑOS,CELAYA,2024,ENERO,4,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,
LESIONES DOLOSAS,CELAYA,2024,ENERO,2,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
ROBO A NEGOCIO,CELAYA,2024,ENERO,2,BARRIO DE SANTO CRISTO CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,CON VIOLENCIA
FRAUDE,CELAYA,2024,ENERO,2,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2024,ENERO,8,FRACCIONAMIENTO DE DON GU CELAYA GUANAJUATO,CIRC. HACIENDA DEL JARAL,
OTROS DELITOS,CELAYA,2024,ENERO,16,SAN ANTONIO DE GALLARDO SAN ANTONIO GALLARDO GUANAJUATO,DE LA RESURECCIÓN,
AMENAZAS,CELAYA,2024,ENERO,4,SIN NOMBRE CELAYA GUANAJUATO,EJE NOR-PONIENTE MANUEL J. CLOUTHIER,
AMENAZAS,CELAYA,2024,ENERO,16,SAN MIGUEL OCTOPAN SAN MIGUEL OCTOPAN GUANAJUATO,INDEPENDENCIA,
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,4,FOVISSSTE CELAYA GUANAJUATO,FRAY BERNARDINO DE SAHAGUN,SIN VIOLENCIA
DAÑOS,CELAYA,2024,FEBRERO,4,PRADERAS DE LA HACIENDA CELAYA GUANAJUATO,HACIENDA DE MAYORAZGO,
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,4,FRACCIONAMIENTO LOS MEZQUITES GUANAJUATO,MESQUITEZ,
AMENAZAS,CELAYA,2024,FEBRERO,16,ALAMEDA CELAYA GUANAJUATO,GUADALAJARA,
CONTRA LA SALUD,CELAYA,2024,FEBRERO,4,LAS FUENTES CELAYA GUANAJUATO,FUENTE DE BARATILLO,
OTROS DELITOS,CELAYA,2024,FEBRERO,4,INDUSTRIAL CELAYA GUANAJUATO,CARPINTEROS,
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,16,EL VERGEL CELAYA GUANAJUATO,PLAN DE IGUALA,
DESPOJO,CELAYA,2024,FEBRERO,16,NO CATALOGADO,NO CATALOGADO,
AMENAZAS,CELAYA,2024,ENERO,29,SAN JUANICO CELAYA GUANAJUATO,CORINDÓN,
FRAUDE,CELAYA,2024,ENERO,19,VILLA DE BENAVENTE CELAYA GUANAJUATO,AVENIDA IRRIGACIÓN,
LESIONES DOLOSAS,CELAYA,2024,ENERO,18,EMILIANO ZAPATA CELAYA GUANAJUATO,BENJAMÍN ARGUMEDO,
OTROS DELITOS,CELAYA,2024,ENERO,18,SAN CAYETANO GUANAJUATO,BENITO JUAREZ,
OTROS DELITOS,CELAYA,2024,FEBRERO,7,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
HOMICIDIO DOLOSO,CELAYA,2024,FEBRERO,7,SAN ANTONIO DE GALLARDO SAN ANTONIO GALLARDO GUANAJUATO,GARDENIA,
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,8,GUANAJUATO,NO CATALOGADO,CON VIOLENCIA
AMENAZAS,CELAYA,2024,FEBRERO,8,PROGRESO DE SOLIDARIDAD 2 CELAYA GUANAJUATO,RÍO USUMACINTA,
LESIONES DOLOSAS,CELAYA,2024,ENERO,6,LOS OLIVOS CELAYA GUANAJUATO,AVENIDA PASEO DE LOS OLIVOS,
DAÑOS,CELAYA,2024,ENERO,11,LAS INSURGENTES CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,
OTROS DELITOS,CELAYA,2024,ENERO,15,VALLE DEL REAL CELAYA GUANAJUATO,CARDENAL,
LESIONES DOLOSAS,CELAYA,2024,ENERO,12,VILLA DE CELAYA CELAYA GUANAJUATO,PASEO DE LAS CARRETAS,
ABUSO DE CONFIANZA,CELAYA,2024,ENERO,19,EXELARIS CELAYA GUANAJUATO,GASPAR DE ALMANZA,
