delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,23,NO CATALOGADO,NO CATALOGADO,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2022,FEBRERO,16,REAL DE ARBOLEDAS,CALLE PASEO REAL DE ARBOLEDAS,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,16,CUAUHTEMOC,AVENIDA IRRIGACIÓN,SIN VIOLENCIA
FRAUDE,CELAYA,2022,FEBRERO,16,ZONA CENTRO,CALLE JOSÉ MARÍA MORELOS,
OTROS DELITOS,CELAYA,2022,FEBRERO,27,DE SANTO CRISTO,PROLONGACIÓN MIGUEL HIDALGO,
CONTRA LA SALUD,CELAYA,2022,FEBRERO,27,SANTA MARIA,CALLE ESCOBEDO,
DAÑOS,CELAYA,2022,FEBRERO,9,SAN JOSE DE GUANAJUATO,NO CATALOGADO,
HOMICIDIO DOLOSO,CELAYA,2022,FEBRERO,9,LUIS DONALDO COLOSIO,CALLE SEDESOL,
HOMICIDIO DOLOSO,CELAYA,2022,FEBRERO,15,NO CATALOGADO,NO CATALOGADO,
DAÑOS,CELAYA,2022,FEBRERO,15,SIENA II,LIBRAMIENTO SUR,
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,15,RESIDENCIAL CELAYA,CALLE MUTUALISMO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2022,FEBRERO,15,NO CATALOGADO,NO CATALOGADO,
LESIONES DOLOSAS,CELAYA,2022,FEBRERO,20,LAS HUERTAS,CALLE HUERTA DE LOS DURAZNOS,
VIOLENCIA FAMILIAR,CELAYA,2022,FEBRERO,20,EL ATRIO,CIRCUITO SAN PEDRO,
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,21,ALAMOS,CALLE FLOR DEL LOTO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2022,FEBRERO,25,OBRERO MUNDIAL,CALLE JOSEFA MATAMOROS,
ROBO A NEGOCIO,CELAYA,2022,FEBRERO,25,EL DORADO,BOULEVARD CONSTITUYENTES,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2022,FEBRERO,25,NO CATALOGADO,NO CATALOGADO,
AMENAZAS,CELAYA,2022,FEBRERO,25,DEL ZAPOTE,16 DE SEPTIEMBRE,
OTROS DELITOS,CELAYA,2022,FEBRERO,25,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2022,FEBRERO,25,LAS FLORES,CALLE AZUCENA,
LESIONES DOLOSAS,CELAYA,2022,FEBRERO,25,NO CATALOGADO,NO CATALOGADO,
DAÑOS,CELAYA,2022,FEBRERO,28,PALMITA DE SAN GABRIEL,NO CATALOGADO,
OTROS DELITOS,CELAYA,2022,ENERO,26,IMPRESIONISTAS,CALLE MANUEL DOBLADO,
FRAUDE,CELAYA,2022,ENERO,10,NAT THA HI,AVENIDA IRRIGACIÓN,
ROBOS DIVERSOS,CELAYA,2022,ENERO,20,VALLE DE GIRASOLES,PRIVADA HIEDRA,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2022,ENERO,23,SAN JOSE DE TORRES,PRIVADA ROSA BLANCA,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2022,ENERO,28,ZONA CENTRO,CALLE ÁLVARO OBREGÓN,
OTROS DELITOS,CELAYA,2022,ENERO,4,LAS HUERTAS,CALLE HUERTA DE LOS NARANJOS,
FALSEDAD ANTE UNA AUTORIDAD,CELAYA,2022,ENERO,27,BAJIO DE LAS AMERICAS,PROLONGACIÓN SANTOS DEGOLLADO,
