delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
AMENAZAS,CELAYA,2025,ENERO,20,VALLE HERMOSO CELAYA GUANAJUATO,AZALEA,
CONTRA LA SALUD,CELAYA,2025,ENERO,22,RINCON DE TAMAYO RINCÓN DE TAMAYO GUANAJUATO,DEL SOL,
LESIONES DOLOSAS,CELAYA,2025,ENERO,22,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
ROBOS DIVERSOS,CELAYA,2025,ENERO,22,COLONIA CENTRO CELAYA GUANAJUATO,CALLE ALVARO OBREGON,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,22,ALAMOS CELAYA GUANAJUATO,FLOR DE DURAZNO,
OTROS DELITOS,CELAYA,2025,ENERO,21,VALLE HERMOSO CELAYA GUANAJUATO,CRISANTEMO,
ABUSO DE CONFIANZA,CELAYA,2025,ENERO,20,CENTRO CELAYA GUANAJUATO,MIGUEL HIDALGO,
CONTRA LA SALUD,CELAYA,2025,ENERO,23,SAN JOSÉ DE GUANAJUATO CELAYA GUANAJUATO,PINO SUÁREZ,
FRAUDE,CELAYA,2025,ENERO,20,LOS OLIVOS CELAYA GUANAJUATO,CALLE SIERRA DEL ESPADAN,
DAÑOS,CELAYA,2025,ENERO,24,PUERTAS DE SANTA MARÍA CELAYA GUANAJUATO,SIN REFERENCIA NÚMERO 396,
OTROS DELITOS,CELAYA,2025,ENERO,24,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,CALLE PARAÍSO,
VIOLACION,CELAYA,2025,ENERO,24,LA CANTERA CELAYA GUANAJUATO,VILLA MARINO,
DAÑOS,CELAYA,2025,ENERO,21,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,24,BRISAS DEL VALLE MOCTEZUMA CELAYA GUANAJUATO,CIRCUITO LAGOS,
OTROS DELITOS,CELAYA,2025,ENERO,19,SAN ISIDRO GUANAJUATO,AVENIDA DEL TRABAJO,
DAÑOS,CELAYA,2025,ENERO,19,LAS ARBOLEDAS CELAYA GUANAJUATO,PASEO DE SAN NICOLÁS DE PARRA,
ROBOS DIVERSOS,CELAYA,2025,ENERO,20,PLANCARTE GUANAJUATO,CAMINO A PLANCARTE,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,22,JACARANDAS CELAYA GUANAJUATO,ESCUADRÓN 201,
OTROS DELITOS,CELAYA,2025,ENERO,20,EL VERGEL CELAYA GUANAJUATO,DIVISIÓN DEL NORTE,
LESIONES DOLOSAS,CELAYA,2025,ENERO,21,COLONIA MAGNO CELAYA GUANAJUATO,LUIS DONALDO COLOSIO,
CONTRA LA SALUD,CELAYA,2025,ENERO,22,EL VERGEL CELAYA GUANAJUATO,DIVISIÓN DEL NORTE,
DAÑOS,CELAYA,2025,ENERO,22,LA JOYA CELAYA GUANAJUATO,CALLE FERROCARRIL CENTRAL,
AMENAZAS,CELAYA,2025,ENERO,22,LAZARO CARDENAS CELAYA GUANAJUATO,PLAN DEL CARMEN,
DAÑOS,CELAYA,2025,ENERO,6,RANCHO SECO CELAYA GUANAJUATO,DOLORES HIDALGO,
OTROS DELITOS,CELAYA,2025,ENERO,7,TECNOLOGICO CELAYA GUANAJUATO,ADMINISTRADORES,
DAÑOS,CELAYA,2025,ENERO,7,LAS DELICIAS CELAYA GUANAJUATO,LIBRAMIENTO NORORIENTE,
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,1,SANTA RITA CELAYA GUANAJUATO,CELAYA,
LESIONES DOLOSAS,CELAYA,2025,ENERO,2,SAN JUAN DE LA VEGA SAN JUAN DE LA VEGA GUANAJUATO,CALLE 5 DE MAYO ORIENTE,
ROBOS DIVERSOS,CELAYA,2025,ENERO,2,BARRIO DEL ZAPOTE CELAYA GUANAJUATO,TENOCHTITLAN,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,3,VALLE HERMOSO CELAYA GUANAJUATO,CAMELIA,
OTROS DELITOS,CELAYA,2025,ENERO,22,LINDAVISTA CELAYA GUANAJUATO,JAZMÍN,
CONTRA LA SALUD,CELAYA,2025,ENERO,23,LOS OLIVOS CELAYA GUANAJUATO,AVENIDA BALEARES,
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,24,VILLA LOS ÁLAMOS LA PALMITA GUANAJUATO,TABACHINES,
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,21,EJIDAL CELAYA GUANAJUATO,EJIDO LOS AGUIRRE,
ROBOS DIVERSOS,CELAYA,2025,ENERO,22,EJIDAL CELAYA GUANAJUATO,EJIDO CERRO PRIETO,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,22,CIUDAD INDUSTRIAL DE CELAYA CELAYA GUANAJUATO,CALLE PONIENTE 4,SIN VIOLENCIA
