delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
OTROS DELITOS,CELAYA,2023,ENERO,20,JAUREGUI GUANAJUATO,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,20,BARRIO DEL ZAPOTE CELAYA GUANAJUATO,XICHÚ,
AMENAZAS,CELAYA,2023,ENERO,19,GUANAJUATO,GUADALUPE VICTORIA,
OTROS DELITOS,CELAYA,2023,ENERO,20,ROQUE GUANAJUATO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2023,ENERO,19,SAN MIGUEL OCTOPAN GUANAJUATO,FRANCISCO I. MADERO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,29,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,23,LAGOS CELAYA GUANAJUATO,LAGO DE ZIRAHUEN,
AMENAZAS,CELAYA,2023,ENERO,30,VILLAS DEL BAJIO IV CELAYA GUANAJUATO,PROLONGACIÓN AVENIDA LAS TORRES,
LESIONES DOLOSAS,CELAYA,2023,ENERO,23,ALAMEDA CELAYA GUANAJUATO,20 DE NOVIEMBRE,
CONTRA LA SALUD,CELAYA,2023,ENERO,31,LAS DELICIAS CELAYA GUANAJUATO,LIBRAMIENTO NORORIENTE,
OTROS DELITOS,CELAYA,2023,ENERO,10,GIRASOLES CELAYA GUANAJUATO,DE BUGAMBILIA,
OTROS DELITOS SEXUALES,CELAYA,2023,ENERO,10,NO CATALOGADO,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,20,LA ESPERANZA CELAYA GUANAJUATO,FELIPE ANGELES,
OTROS DELITOS,CELAYA,2023,ENERO,28,GIRASOLES CELAYA GUANAJUATO,MEZQUITE,
LESIONES DOLOSAS,CELAYA,2023,ENERO,10,SAN FRANCISCO CELAYA GUANAJUATO,SAN LORENZO,
HOMICIDIO CULPOSO,CELAYA,2023,ENERO,11,LAGOS CELAYA GUANAJUATO,LAGO DE PALOMAS,
OTROS DELITOS,CELAYA,2023,ENERO,29,SANTA MARÍA DEL REFUGIO GUANAJUATO,LIBERTAD,
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,31,SANTIAGO DE CUENDA GUANAJUATO,JUVENTINO ROSAS - CELAYA,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,18,NO CATALOGADO,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,31,NO CATALOGADO,NO CATALOGADO,
HOMICIDIO DOLOSO,CELAYA,2023,ENERO,31,MOCTEZUMA CELAYA GUANAJUATO,HERMOSILLO,
ABUSO DE CONFIANZA,CELAYA,2023,ENERO,11,GOBERNADORES CELAYA GUANAJUATO,CALLE SEVERO CASTILLO,
CONTRA LA SALUD,CELAYA,2023,ENERO,10,TENERÍA DEL SANTUARIO GUANAJUATO,CALLE FRONTERA,
EXTORSION,CELAYA,2023,ENERO,10,MONTE BLANCO CELAYA GUANAJUATO,SANTA TERESA,
AMENAZAS,CELAYA,2023,ENERO,5,RESURRECCIÓN CELAYA GUANAJUATO,DE GÓMEZ FARIAS,
ROBO A NEGOCIO,CELAYA,2023,ENERO,18,EL CAMPANARIO CELAYA GUANAJUATO,AVENIDA LAS TORRES,CON VIOLENCIA
CONTRA LA SALUD,CELAYA,2023,ENERO,15,NO CATALOGADO,NO CATALOGADO,
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2023,ENERO,5,GUANAJUATO,AVENIDA SENDA REAL,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,19,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2023,ENERO,18,NO CATALOGADO,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,16,NO CATALOGADO,NO CATALOGADO,
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,17,NUEVO CELAYA CELAYA GUANAJUATO,12 DE OCTUBRE,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2023,ENERO,17,COLONIA CENTRO CELAYA GUANAJUATO,MIGUEL HIDALGO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,19,NO CATALOGADO,NO CATALOGADO,
LESIONES DOLOSAS,CELAYA,2023,ENERO,17,SAN ISIDRO DE SILVA CELAYA GUANAJUATO,MIGUEL HIDALGO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,17,VILLAS DE ELGUERA GUANAJUATO,VILLA DE LOS ÁRBOLES,SIN VIOLENCIA
AMENAZAS,CELAYA,2023,ENERO,18,ZONA DE ORO CELAYA GUANAJUATO,VENUS,
LESIONES DOLOSAS,CELAYA,2023,ENERO,16,GUADALUPE GUADALUPE GUANAJUATO,SAN MARTIN,
ROBOS DIVERSOS,CELAYA,2023,ENERO,13,GIRASOLES CELAYA GUANAJUATO,VALLE DEL AVELLANO,SIN VIOLENCIA
LESIONES DOLOSAS,CELAYA,2023,ENERO,16,NO CATALOGADO,NO CATALOGADO,
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,15,EMILIANO ZAPATA CELAYA GUANAJUATO,CAMINO A SAN MIGUEL OCTOPAN,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2023,ENERO,17,LOS LAURELES CELAYA GUANAJUATO,ROBLE,SIN VIOLENCIA
DAÑOS,CELAYA,2023,ENERO,13,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,17,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA
EXTORSION,CELAYA,2023,ENERO,13,NO CATALOGADO,NO CATALOGADO,
DAÑOS,CELAYA,2023,ENERO,22,GUANAJUATO,HUERTA DE LOS CIRUELOS,
ROBOS DIVERSOS,CELAYA,2023,ENERO,25,LA FAVORITA CELAYA GUANAJUATO,AVENIDA IRRIGACIÓN,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,25,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2023,ENERO,23,LAGOS CELAYA GUANAJUATO,LAGO DE COYUCA,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,13,SAN JUANICO CELAYA GUANAJUATO,MINA DE MELLADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,13,LAS AVES CELAYA GUANAJUATO,LOS ZENZONTLES,SIN VIOLENCIA
HOMICIDIO DOLOSO,CELAYA,2023,ENERO,22,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2023,ENERO,22,PROGRESO DE SOLIDARIDAD 2 CELAYA GUANAJUATO,RÍO BALSAS,
AMENAZAS,CELAYA,2023,ENERO,23,SAN ANTONIO DE GALLARDO SAN JUAN DE LA VEGA GUANAJUATO,CALLE JAZMIN,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,23,NO CATALOGADO,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,25,VILLA LOS ÁLAMOS LA PALMITA GUANAJUATO,TABACHINES,
ROBOS DIVERSOS,CELAYA,2023,ENERO,25,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2023,ENERO,22,EL CAMPANARIO CELAYA GUANAJUATO,PASEO DEL CAMPANARIO,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,22,RANCHO VIEJO LOS CAPULINES GUANAJUATO,GUANAJUATO,
AMENAZAS,CELAYA,2023,ENERO,22,NO CATALOGADO,NO CATALOGADO,
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,23,MICHINELAS GUANAJUATO,NO CATALOGADO,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,21,LAGOS CELAYA GUANAJUATO,PASEO DE SAN NICOLÁS DE PARRA,
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,21,FOVISSSTE CELAYA GUANAJUATO,JOAQUÍN GARCÍA,CON VIOLENCIA
DAÑOS,CELAYA,2023,ENERO,24,NO CATALOGADO,NO CATALOGADO,
HOMICIDIO DOLOSO,CELAYA,2023,ENERO,24,NO CATALOGADO,NO CATALOGADO,
HOMICIDIO DOLOSO,CELAYA,2023,ENERO,22,NO CATALOGADO,NO CATALOGADO,
LESIONES DOLOSAS,CELAYA,2023,ENERO,24,SAN MIGUEL OCTOPAN SAN MIGUEL OCTOPAN GUANAJUATO,CONSTITUCIÓN,
LESIONES DOLOSAS,CELAYA,2023,ENERO,19,GUANAJUATO,LÁZARO CÁRDENAS,
ROBOS DIVERSOS,CELAYA,2023,ENERO,19,NO CATALOGADO,NO CATALOGADO,CON VIOLENCIA
ABUSO DE CONFIANZA,CELAYA,2023,ENERO,24,JUAN MARTÍN GUANAJUATO,CALLE JOSÉ MARÍA MORELOS,
OTROS DELITOS,CELAYA,2023,ENERO,27,SAN MIGUEL CELAYA GUANAJUATO,RÍO LERMA,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,31,NO CATALOGADO,NO CATALOGADO,
CONTRA LA SALUD,CELAYA,2023,ENERO,14,GUANAJUATO,CALLE CLAVEL,
OTROS DELITOS,CELAYA,2023,ENERO,16,SAN JUAN DE LA VEGA SAN JUAN DE LA VEGA GUANAJUATO,CALLE ALVARO OBREGON,
CONTRA LA SALUD,CELAYA,2023,ENERO,16,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,
OTROS DELITOS,CELAYA,2023,ENERO,16,NO CATALOGADO,NO CATALOGADO,
LESIONES DOLOSAS,CELAYA,2023,ENERO,15,VALLE DEL REAL CELAYA GUANAJUATO,CARDENAL,
OTROS DELITOS,CELAYA,2023,ENERO,15,GUANAJUATO,BENITO JUÁREZ,
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,15,JARDINES DE CELAYA 1 RA SECCIÓN CELAYA GUANAJUATO,AVENIDA CONSTITUYENTES,SIN VIOLENCIA
DAÑOS,CELAYA,2023,ENERO,30,CELAYA GUANAJUATO,EJE NOR-PONIENTE MANUEL J. CLOUTHIER,
LESIONES DOLOSAS,CELAYA,2023,ENERO,30,NO CATALOGADO,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,30,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,30,LINDAVISTA CELAYA GUANAJUATO,VIOLETA,CON VIOLENCIA
DAÑOS,CELAYA,2023,ENERO,31,NO CATALOGADO,NO CATALOGADO,
AMENAZAS,CELAYA,2023,ENERO,16,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,16,LOS LAURELES CELAYA GUANAJUATO,ÉBANO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,31,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,28,UNIDAD HABITACIONAL DE TIERRAS NEGRAS CELAYA GUANAJUATO,HERMENEGILDO GALEANA,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2023,ENERO,26,SANTA TERESITA CELAYA GUANAJUATO,TORTOLITAS,
ROBO A NEGOCIO,CELAYA,2023,ENERO,27,COLONIA CENTRO CELAYA GUANAJUATO,VENUSTIANO CARRANZA,CON VIOLENCIA
AMENAZAS,CELAYA,2023,ENERO,17,CELAYA GUANAJUATO,VILLAS NATURA,
OTROS DELITOS,CELAYA,2023,ENERO,17,NO CATALOGADO,NO CATALOGADO,
HOMICIDIO DOLOSO,CELAYA,2023,ENERO,17,LAS ARBOLEDAS CELAYA GUANAJUATO,LAGUNA MADRE,
ROBOS DIVERSOS,CELAYA,2023,ENERO,31,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA
FALSEDAD ANTE UNA AUTORIDAD,CELAYA,2023,ENERO,31,SAN MIGUEL OCTOPAN SAN MIGUEL OCTOPAN GUANAJUATO,HERMANOS ALDAMA,
AMENAZAS,CELAYA,2023,ENERO,31,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,4,CIUDADELA CELAYA GUANAJUATO,AVENIDA TECNOLÓGICO,CON VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,16,CELAYA GUANAJUATO,RIO LERMA DE SANTIAGO,
OTROS DELITOS,CELAYA,2023,ENERO,16,GUANAJUATO,SAN MIGUEL DE ALLENDE - CELAYA,
HOMICIDIO DOLOSO,CELAYA,2023,ENERO,16,SANTA TERESITA CELAYA GUANAJUATO,COLIBRÍ,
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,17,LAS DELICIAS CELAYA GUANAJUATO,TORRES LANDA,
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2023,ENERO,17,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,17,GUANAJUATO,GUANABANA,CON VIOLENCIA
EXTORSION,CELAYA,2023,ENERO,16,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2023,ENERO,30,SAN MIGUEL CELAYA GUANAJUATO,MUTUALISMO,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2023,ENERO,31,LA MISION CELAYA GUANAJUATO,MISIÓN DE SANTO DOMINGO,SIN VIOLENCIA
ABUSO DE CONFIANZA,CELAYA,2023,ENERO,27,LAS INSURGENTES CELAYA GUANAJUATO,LUCÍA GARCÍA,
ABUSO DE CONFIANZA,CELAYA,2023,ENERO,27,RESURRECCIÓN CELAYA GUANAJUATO,VALENTÍN GÓMEZ FARIAS,
OTROS DELITOS,CELAYA,2023,ENERO,27,RESURRECCIÓN CELAYA GUANAJUATO,SOSTENES ROCHA,
