delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,5,INDUSTRIAL,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,5,SAN ANTONIO,CALLE LOS AZTECAS,CON VIOLENCIA
DAÑOS,CELAYA,2020,FEBRERO,5,RESIDENCIAL CAMPANARIO,AUTOPISTA DE PEAJE CELAYA-SALAMANCA,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,5,VILLAS DEL PARAISO,CALLE TRUEVA OLIVARES,CON VIOLENCIA
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2020,FEBRERO,4,LOPEZ PORTILLO,CALLE GENERAL MANUEL PALAFOX,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,5,VILLAS DEL ROCIO,CALLE SEBASTIÁN LERDO DE TEJADA,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,1,ROSA LINDA,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,1,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA
AMENAZAS,CELAYA,2020,FEBRERO,20,EL DORADO,CALLE PÍPILA,
OTROS DELITOS,CELAYA,2020,FEBRERO,20,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2020,FEBRERO,19,LA HUERTA,CALLE PÍPILA,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,19,SEGUNDA FRACCION DE CRESPO,AVENIDA AEROPUERTO,CON VIOLENCIA
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,3,NO CATALOGADO,NO CATALOGADO,
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,2,CAPITALES DE EUROPA,BOULEVARD CONSTITUYENTES,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,3,ZONA CENTRO,CALLE VICENTE RIVAPALACIOS,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,3,LOS PINOS,NO CATALOGADO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,24,EJIDAL,CALLE EJIDO SANTA INÉS,
OTROS DELITOS,CELAYA,2020,FEBRERO,24,TECNOLOGICO,AVENIDA PRESA ÁLVARO OBREGON,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,21,LA CRUZ,CALLE JARDÍN PRINCIPAL,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,21,VILLAS DE SAN GABRIEL,CALLE VILLA DE ZARAGOZA,
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,22,LAS PALMAS,CARRETERA CELAYA-SALVATIERRA,
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2020,FEBRERO,22,LAS FLORES,AVENIDA PENSAMIENTO,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,22,JARDINES DE CELAYA 1 RA SECC,PRIVADA LAURELES,
OTROS DELITOS SEXUALES,CELAYA,2020,FEBRERO,22,SAN JUANICO,CALLE BASALTO,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,18,SAN FRANCISCO,AVENIDA PASEO DEL SOL,
DAÑOS,CELAYA,2020,FEBRERO,17,NO CATALOGADO,CAMINO A SAN JOSÉ DE GUANAJUATO,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,17,LAS MARGARITAS,CALLE MARGARITA,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,12,GOBERNADORES,CALLE JOSÉ RINCÓN GALLARDO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,10,LOS OLIVOS,CIRCUITO VALLE CENTRAL,
DAÑOS,CELAYA,2020,FEBRERO,10,SEGUNDA FRACCION DE CRESPO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2020,FEBRERO,8,CIUDADELA,CALLE PLAN DE GUADALUPE,
OTROS DELITOS,CELAYA,2020,FEBRERO,8,SAN MIGUEL,BOULEVARD ADOLFO LÓPEZ MATEOS,
OTROS DELITOS,CELAYA,2020,FEBRERO,8,NO CATALOGADO,NO CATALOGADO,
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,5,CONSTIYUYENTES,CAMINO A JOFRE,
CONTRA LA SALUD,CELAYA,2020,FEBRERO,8,EJIDAL,CALLE REFORMA AGRARIA,
OTROS DELITOS,CELAYA,2020,FEBRERO,8,EJIDAL,CALLE REFORMA AGRARIA,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,8,LAS DELICIAS,CARRETERA A QUERÉTARO,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,4,CONSTIYUYENTES,CALLE EJIDO CERRO PRIETO,SIN VIOLENCIA
ROBO A CASA HABITACIÓN,CELAYA,2020,FEBRERO,5,PALMA REAL,CIRCULO PALMA RÉAL,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,5,VILLAS DEL BAJIO II,CIRCUITO VILLA DE GAVIRA,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,4,NO CATALOGADO,CALLE QUETZAL,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,EMILIANO ZAPATA,CALLE GENOVEVO DE LA O.,CON VIOLENCIA
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,4,VALLE DEL REAL,CALLE VÍCTOR JOSÉ LIZARDI,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,23,ZONA DE ORO,CALLE ALBINO GARCÍA,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,23,LA CRUZ,NO CATALOGADO,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,23,LAGOS,CALLE LAGO DE ZIRAHUÉN,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,1,RENACIMIENTO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,23,LOS PINOS,ANDADOR EL SAÚCO,CON VIOLENCIA
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,22,LA RESURRECCION,CALLE MARIANO ESCOBEDO,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,22,DE SANTIAGUITO,CALLE HERMENEGILDO GALEANA,CON VIOLENCIA
