delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,8,DE TIERRAS NEGRAS,CALLE FRANCISCO ZARCO,CON VIOLENCIA,-100.8251298,20.5276729
OTROS DELITOS,CELAYA,2020,FEBRERO,10,ALAMEDA,CALLE RÍO BRAVO,,-100.8067822,20.5258872
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,9,LOPEZ PORTILLO,CALLE PATRICIO LEYVA,CON VIOLENCIA,-100.8064801,20.5358598
OTROS DELITOS,CELAYA,2020,FEBRERO,5,ZONA DE ORO,CALLE LUIS GONZÁLEZ OBREGÓN,,-100.8345911,20.525584
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,8,RESIDENCIAL SANTA FE DE LOS NARANJOS,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,CON VIOLENCIA,-100.841063,20.5499429
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,5,15 DE MAYO,CALLE GABRIELA MISTRAL,SIN VIOLENCIA,-100.837744,20.5495082
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,1,ZONA CENTRO,NO CATALOGADO,CON VIOLENCIA,-100.8155201,20.5203446
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,1,NO CATALOGADO,CALLE IGNACIO ALLENDE,CON VIOLENCIA,-100.8352452,20.5660726
OTROS DELITOS,CELAYA,2020,FEBRERO,4,NUEVA SANTA MARIA,PENSAMIENTO,,-100.8208099,20.5005327
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,INDUSTRIAL,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA,-100.8312983,20.5537848
OTROS DELITOS SEXUALES,CELAYA,2020,FEBRERO,24,DEL BOSQUE,CALLE TAMARINDO,,-100.7945518,20.5054051
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,24,EMILIANO ZAPATA,AVENIDA TIERRA Y LIBERTAD,CON VIOLENCIA,-100.7985253,20.541359
OTROS DELITOS,CELAYA,2020,FEBRERO,24,VILLA LOS ARCOS,VILLA DE LOS ARCOS,,-100.8226735,20.4909705
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,23,LA JOYITA,CARRETERA CELAYA-SALVATIERRA,CON VIOLENCIA,-100.808988,20.4880265
OTROS DELITOS,CELAYA,2020,FEBRERO,1,LA CRUZ,CALLE JARDÍN PRINCIPAL,,-100.7480556,20.5737823
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,20,HACIENDA DE MUÑIZ,CALLE PLAN DE CUERNAVACA,,-100.8271524,20.5565684
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,22,DE TIERRAS NEGRAS,CALLE MARIANO ABASOLO,CON VIOLENCIA,-100.8237509,20.5273496
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,22,SAN MARTIN DE CAMARGO,AUTOPISTA QUERÉTARO-CELAYA,SIN VIOLENCIA,-100.7720555,20.5528668
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,19,LATINOAMERICANA,AVENIDA MÉXICO,SIN VIOLENCIA,-100.835,20.5439986
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,20,VALLE DEL REAL,RUISEÑOR,SIN VIOLENCIA,-100.8475701,20.5304193
OTROS DELITOS,CELAYA,2020,FEBRERO,20,PALMITA DE SAN GABRIEL,NO CATALOGADO,,-100.8768998,20.4981092
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,18,SAN ANTONIO DE GALLARDO,CALLE DOLORES,,-100.7718613,20.6280947
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,19,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA,-100.8130637,20.5196199
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,24,LAS FLORES,CALLE HELIOTROPO,SIN VIOLENCIA,-100.815822,20.5027258
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,24,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,CON VIOLENCIA,-100.8130637,20.5196199
OTROS DELITOS,CELAYA,2020,FEBRERO,22,GUADALUPE,CALLE SAN ANTONIO,,-100.7920967,20.512599
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,21,NO CATALOGADO,EJE NORTE ORIENTE,SIN VIOLENCIA,-100.7818445,20.5497556
OTROS DELITOS,CELAYA,2020,FEBRERO,21,EJIDAL,EJIDO MADRILEÑAS,,-100.8239839,20.508052
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,17,EL ATRIO II,AVENIDA DE LAS TORRES,SIN VIOLENCIA,-100.8574391,20.560475
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,14,EL VERGEL,CALLE MONTES DE OCA,SIN VIOLENCIA,-100.8052721,20.5147654
OTROS DELITOS,CELAYA,2020,FEBRERO,13,VILLAS DEL ROCIO,CALLE MARISCAL IGNACIO CAMARGO,,-100.8163606,20.5131535
OTROS DELITOS,CELAYA,2020,FEBRERO,10,VALLE DEL REAL,CAMINO REAL,,-100.8449282,20.5254213
OTROS DELITOS SEXUALES,CELAYA,2020,FEBRERO,12,LA AURORA,CALLE FRANCISCO I. MADERO,,-100.8065543,20.5224743
OTROS DELITOS,CELAYA,2020,FEBRERO,12,SAN ANGEL,NO CATALOGADO,,-100.8019868,20.5091283
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,12,ZONA DE ORO,CALLE ALBINO GARCÍA,SIN VIOLENCIA,-100.8354272,20.5261868
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,10,CIUDADELA,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA,-100.8312983,20.5537848
DAÑOS,CELAYA,2020,FEBRERO,10,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,8,NO CATALOGADO,NO CATALOGADO,CON VIOLENCIA,-100.8212707,20.519439
OTROS DELITOS,CELAYA,2020,FEBRERO,8,EMILIANO ZAPATA,CALLE ANTONIO BARONA,,-100.7947757,20.5436025
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,7,LOS LAURELES,CALLE OYAMEL,CON VIOLENCIA,-100.8335861,20.5376499
CONTRA LA SALUD,CELAYA,2020,FEBRERO,7,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,8,CIUDADELA,NO CATALOGADO,SIN VIOLENCIA,-100.8246893,20.5543197
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,8,SANTOS DEGOLLADO (EL BECERRO),PROLONGACIÓN EMILIANO ZAPATA,,-100.852619,20.5443671
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,5,SEGUNDA FRACCION DE CRESPO,AVENIDA AEROPUERTO,CON VIOLENCIA,-100.8943456,20.5289246
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,5,INDUSTRIAL,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA,-100.8312983,20.5537848
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,5,SAN ANTONIO,CALLE LOS AZTECAS,CON VIOLENCIA,-100.8163354,20.5273658
DAÑOS,CELAYA,2020,FEBRERO,5,RESIDENCIAL CAMPANARIO,AUTOPISTA DE PEAJE CELAYA-SALAMANCA,,-100.8380919,20.5571522
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,5,VILLAS DEL PARAISO,CALLE TRUEVA OLIVARES,CON VIOLENCIA,-100.8287297,20.5265554
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,1,ROSA LINDA,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA,-100.8331624,20.5191582
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,1,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA,-100.8130637,20.5196199
AMENAZAS,CELAYA,2020,FEBRERO,20,EL DORADO,CALLE PÍPILA,,-100.8155139,20.518177
OTROS DELITOS,CELAYA,2020,FEBRERO,20,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
OTROS DELITOS,CELAYA,2020,FEBRERO,19,LA HUERTA,CALLE PÍPILA,,-100.8155139,20.518177
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,19,SEGUNDA FRACCION DE CRESPO,AVENIDA AEROPUERTO,CON VIOLENCIA,-100.8943456,20.5289246
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,3,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,2,CAPITALES DE EUROPA,BOULEVARD CONSTITUYENTES,,-100.8115919,20.510007
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,3,LOS PINOS,NO CATALOGADO,SIN VIOLENCIA,-100.8430302,20.5414044
OTROS DELITOS,CELAYA,2020,FEBRERO,24,TECNOLOGICO,AVENIDA PRESA ÁLVARO OBREGON,,-100.8052971,20.5443773
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,21,LA CRUZ,CALLE JARDÍN PRINCIPAL,CON VIOLENCIA,-100.7480556,20.5737823
OTROS DELITOS,CELAYA,2020,FEBRERO,21,VILLAS DE SAN GABRIEL,CALLE VILLA DE ZARAGOZA,,-100.8064157,20.5011321
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,22,LAS PALMAS,CARRETERA CELAYA-SALVATIERRA,,-100.808988,20.4880265
OTROS DELITOS SEXUALES,CELAYA,2020,FEBRERO,22,SAN JUANICO,CALLE BASALTO,,-100.8376474,20.539167
DAÑOS,CELAYA,2020,FEBRERO,17,NO CATALOGADO,CAMINO A SAN JOSÉ DE GUANAJUATO,,-100.8505088,20.5352406
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,17,LAS MARGARITAS,CALLE MARGARITA,SIN VIOLENCIA,-100.8112885,20.5279612
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,12,GOBERNADORES,CALLE JOSÉ RINCÓN GALLARDO,SIN VIOLENCIA,-100.782673,20.5450006
DAÑOS,CELAYA,2020,FEBRERO,10,SEGUNDA FRACCION DE CRESPO,NO CATALOGADO,,-100.8832517,20.5160834
OTROS DELITOS,CELAYA,2020,FEBRERO,8,CIUDADELA,CALLE PLAN DE GUADALUPE,,-100.8248109,20.554817
OTROS DELITOS,CELAYA,2020,FEBRERO,8,SAN MIGUEL,BOULEVARD ADOLFO LÓPEZ MATEOS,,-100.8205353,20.5200809
OTROS DELITOS,CELAYA,2020,FEBRERO,8,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,5,CONSTIYUYENTES,CAMINO A JOFRE,,-100.8174196,20.5101797
CONTRA LA SALUD,CELAYA,2020,FEBRERO,8,EJIDAL,CALLE REFORMA AGRARIA,,-100.8303556,20.5042156
OTROS DELITOS,CELAYA,2020,FEBRERO,8,EJIDAL,CALLE REFORMA AGRARIA,,-100.8303556,20.5042156
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,8,LAS DELICIAS,CARRETERA A QUERÉTARO,CON VIOLENCIA,-100.7789006,20.5148343
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,4,CONSTIYUYENTES,CALLE EJIDO CERRO PRIETO,SIN VIOLENCIA,-100.8245297,20.5081062
ROBO A CASA HABITACIÓN,CELAYA,2020,FEBRERO,5,PALMA REAL,CIRCULO PALMA RÉAL,SIN VIOLENCIA,-100.7757479,20.5229299
OTROS DELITOS,CELAYA,2020,FEBRERO,5,VILLAS DEL BAJIO II,CIRCUITO VILLA DE GAVIRA,,-100.8665132,20.5627912
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,4,NO CATALOGADO,CALLE QUETZAL,SIN VIOLENCIA,-100.8254586,20.5482963
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,EMILIANO ZAPATA,CALLE GENOVEVO DE LA O.,CON VIOLENCIA,-100.798008,20.5440064
