delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,NO CATALOGADO,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA,-100.8312983,20.5537848
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,BENITO JUAREZ,VITALICIO ROBLE,SIN VIOLENCIA,-100.8044294,20.5434624
AMENAZAS,CELAYA,2021,ENERO,12,ALAMEDA,CALLE VICENTE RIVA PALACIOS,,-100.8098975,20.5253946
CONTRA LA SALUD,CELAYA,2021,ENERO,12,LOS PINOS,ANDADOR EL SAÚCO,,-100.842947,20.5414127
ROBO A NEGOCIO,CELAYA,2021,ENERO,12,DE TIERRAS NEGRAS,CALLE MARIANO ABASOLO,SIN VIOLENCIA,-100.8237509,20.5273496
ROBOS DIVERSOS,CELAYA,2021,ENERO,4,BENITO JUAREZ,CALLE PRESA IGNACIO ALLENDE,SIN VIOLENCIA,-100.8062675,20.5395762
AMENAZAS,CELAYA,2021,ENERO,7,SAN RAFAEL,LAGO YURIRIA,,-100.8336128,20.5095325
OTROS DELITOS,CELAYA,2021,ENERO,3,DE TIERRAS NEGRAS,CALLE LOS AZTECAS,,-100.8238054,20.528132
LESIONES DOLOSAS,CELAYA,2021,ENERO,4,EMILIANO ZAPATA,CALLE GENOVEVO DE LA O.,,-100.798008,20.5440064
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,4,VILLAS DEL ROMERAL,VILLA DE CARBÓN,CON VIOLENCIA,-100.8065769,20.497621
HOMICIDIO CULPOSO,CELAYA,2021,ENERO,4,NAT THA HI,AVENIDA IRRIGACIÓN,,-100.7969321,20.536649
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,LA AURORA,CALLE FRANCISCO GONZÁLEZ BOCANEGRA,CON VIOLENCIA,-100.8111586,20.5148661
AMENAZAS,CELAYA,2021,ENERO,12,JARDINES DE CELAYA 1 RA SECC,CALLE ENCINOS,,-100.7991241,20.5153285
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,NO CATALOGADO,CALLE DEL VALLE,SIN VIOLENCIA,-100.8204719,20.5264955
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,SEGUNDA FRACCION DE CRESPO,AVENIDA MIGUEL HIDALGO,SIN VIOLENCIA,-100.8838299,20.5147747
