delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,3,ZONA DE ORO CELAYA GUANAJUATO,ALBINO GARCÍA,SIN VIOLENCIA,-100.8354272,20.5261868
LESIONES DOLOSAS,CELAYA,2024,ENERO,29,LAS FLORES CELAYA GUANAJUATO,PENSAMIENTO,,-100.8159403,20.5033237
VIOLENCIA FAMILIAR,CELAYA,2024,ENERO,15,LA TRINIDAD GUANAJUATO,SAN MIGUEL,,-100.7838446,20.5655677
ROBO A NEGOCIO,CELAYA,2024,ENERO,29,ZONA INDUSTRIAL CELAYA GUANAJUATO,EJE NOR-PONIENTE MANUEL J. CLOUTHIER,SIN VIOLENCIA,-100.8489239,20.5230168
ROBOS DIVERSOS,CELAYA,2024,ENERO,30,3 GUERRAS CELAYA GUANAJUATO,CARRETERA A QUERETARO,CON VIOLENCIA,-100.7833009,20.516065
OTROS DELITOS,CELAYA,2024,ENERO,4,CELAYA GUANAJUATO,CALLE AVENIDA UNIVERSIDAD,,-100.8372034,20.5011757
ROBO A NEGOCIO,CELAYA,2024,ENERO,20,LOS LAURELES CELAYA GUANAJUATO,AVENIDA EL SAUZ,SIN VIOLENCIA,-100.8297499,20.5358436
FRAUDE,CELAYA,2024,FEBRERO,19,BENITO JUÁREZ CELAYA GUANAJUATO,PRESA ÁLVARO OBREGÓN,,-100.8070016,20.5394797
VIOLENCIA FAMILIAR,CELAYA,2024,FEBRERO,19,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,TEPOZÁN,,-100.7943339,20.5068215
ROBO DE VEHÍCULO,CELAYA,2024,FEBRERO,20,PRESA BLANCA GUANAJUATO,MELCHOR OCAMPO,SIN VIOLENCIA,-100.7944502,20.642914
LESIONES DOLOSAS,CELAYA,2024,ENERO,9,VIÑAS DE LA HERRADURA CELAYA GUANAJUATO,BETABEL,,-100.7798013,20.5496495
HOMICIDIO CULPOSO,CELAYA,2024,ENERO,16,SANTA TERESA GUANAJUATO,GUADALUPE,,-100.8112885,20.5279612
DAÑOS,CELAYA,2024,ENERO,4,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,,-100.8247463,20.5357183
LESIONES DOLOSAS,CELAYA,2024,ENERO,2,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,,-100.815822,20.5027258
ROBO A NEGOCIO,CELAYA,2024,ENERO,2,BARRIO DE SANTO CRISTO CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,CON VIOLENCIA,-100.8264188,20.5196263
FRAUDE,CELAYA,2024,ENERO,2,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,,-100.8247463,20.5357183
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2024,ENERO,8,FRACCIONAMIENTO DE DON GU CELAYA GUANAJUATO,CIRC. HACIENDA DEL JARAL,,-100.8487134,20.5563374
OTROS DELITOS,CELAYA,2024,ENERO,16,SAN ANTONIO DE GALLARDO SAN ANTONIO GALLARDO GUANAJUATO,DE LA RESURECCIÓN,,-100.7663868,20.6240133
AMENAZAS,CELAYA,2024,ENERO,4,SIN NOMBRE CELAYA GUANAJUATO,EJE NOR-PONIENTE MANUEL J. CLOUTHIER,,-100.8452432,20.5374909
AMENAZAS,CELAYA,2024,ENERO,16,SAN MIGUEL OCTOPAN SAN MIGUEL OCTOPAN GUANAJUATO,INDEPENDENCIA,,-100.7486931,20.5746244
ROBOS DIVERSOS,CELAYA,2024,FEBRERO,4,FOVISSSTE CELAYA GUANAJUATO,FRAY BERNARDINO DE SAHAGUN,SIN VIOLENCIA,-100.8162652,20.5424655
DAÑOS,CELAYA,2024,FEBRERO,4,PRADERAS DE LA HACIENDA CELAYA GUANAJUATO,HACIENDA DE MAYORAZGO,,-100.8136943,20.572006
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,4,FRACCIONAMIENTO LOS MEZQUITES GUANAJUATO,MESQUITEZ,,-100.8853895,20.5311997
AMENAZAS,CELAYA,2024,FEBRERO,16,ALAMEDA CELAYA GUANAJUATO,GUADALAJARA,,-100.8127724,20.5316038
CONTRA LA SALUD,CELAYA,2024,FEBRERO,4,LAS FUENTES CELAYA GUANAJUATO,FUENTE DE BARATILLO,,-100.833921,20.5211102
OTROS DELITOS,CELAYA,2024,FEBRERO,4,INDUSTRIAL CELAYA GUANAJUATO,CARPINTEROS,,-100.806913,20.5494324
LESIONES DOLOSAS,CELAYA,2024,FEBRERO,16,EL VERGEL CELAYA GUANAJUATO,PLAN DE IGUALA,,-100.8044894,20.5172369
DESPOJO,CELAYA,2024,FEBRERO,16,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
AMENAZAS,CELAYA,2024,ENERO,29,SAN JUANICO CELAYA GUANAJUATO,CORINDÓN,,-100.836991,20.540694
FRAUDE,CELAYA,2024,ENERO,19,VILLA DE BENAVENTE CELAYA GUANAJUATO,AVENIDA IRRIGACIÓN,,-100.7940399,20.5364133
LESIONES DOLOSAS,CELAYA,2024,ENERO,18,EMILIANO ZAPATA CELAYA GUANAJUATO,BENJAMÍN ARGUMEDO,,-100.8049522,20.5436458
OTROS DELITOS,CELAYA,2024,ENERO,18,SAN CAYETANO GUANAJUATO,BENITO JUAREZ,,-100.8197889,20.603682
OTROS DELITOS,CELAYA,2024,FEBRERO,7,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,,-100.815822,20.5027258
HOMICIDIO DOLOSO,CELAYA,2024,FEBRERO,7,SAN ANTONIO DE GALLARDO SAN ANTONIO GALLARDO GUANAJUATO,GARDENIA,,-100.76689,20.6270919
ROBO A NEGOCIO,CELAYA,2024,FEBRERO,8,GUANAJUATO,NO CATALOGADO,CON VIOLENCIA,-100.8212707,20.519439
AMENAZAS,CELAYA,2024,FEBRERO,8,PROGRESO DE SOLIDARIDAD 2 CELAYA GUANAJUATO,RÍO USUMACINTA,,-100.7885258,20.5039613
LESIONES DOLOSAS,CELAYA,2024,ENERO,6,LOS OLIVOS CELAYA GUANAJUATO,AVENIDA PASEO DE LOS OLIVOS,,-100.7721702,20.5461474
DAÑOS,CELAYA,2024,ENERO,11,LAS INSURGENTES CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,,-100.8141387,20.5196132
OTROS DELITOS,CELAYA,2024,ENERO,15,VALLE DEL REAL CELAYA GUANAJUATO,CARDENAL,,-100.8461272,20.5299519
LESIONES DOLOSAS,CELAYA,2024,ENERO,12,VILLA DE CELAYA CELAYA GUANAJUATO,PASEO DE LAS CARRETAS,,-100.7918063,20.5306558
ABUSO DE CONFIANZA,CELAYA,2024,ENERO,19,EXELARIS CELAYA GUANAJUATO,GASPAR DE ALMANZA,,-100.8141709,20.5348073
CONTRA LA SALUD,CELAYA,2024,ENERO,7,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,CAMELIA,,-100.7958682,20.5081659
ROBO A NEGOCIO,CELAYA,2024,ENERO,9,IMPERIAL CELAYA GUANAJUATO,NO CATALOGADO,CON VIOLENCIA,-100.844794,20.5475416
