delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
AMENAZAS,CELAYA,2025,ENERO,20,VALLE HERMOSO CELAYA GUANAJUATO,AZALEA,,-100.8215506,20.5424542
CONTRA LA SALUD,CELAYA,2025,ENERO,22,RINCON DE TAMAYO RINCÓN DE TAMAYO GUANAJUATO,DEL SOL,,-100.7667173,20.4217737
LESIONES DOLOSAS,CELAYA,2025,ENERO,22,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,,-100.815822,20.5027258
ROBOS DIVERSOS,CELAYA,2025,ENERO,22,COLONIA CENTRO CELAYA GUANAJUATO,CALLE ALVARO OBREGON,CON VIOLENCIA,-100.8134294,20.5246961
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,22,ALAMOS CELAYA GUANAJUATO,FLOR DE DURAZNO,,-100.8501482,20.527865
OTROS DELITOS,CELAYA,2025,ENERO,21,VALLE HERMOSO CELAYA GUANAJUATO,CRISANTEMO,,-100.8221269,20.5377869
ABUSO DE CONFIANZA,CELAYA,2025,ENERO,20,CENTRO CELAYA GUANAJUATO,MIGUEL HIDALGO,,-100.8282182,20.5210242
CONTRA LA SALUD,CELAYA,2025,ENERO,23,SAN JOSÉ DE GUANAJUATO CELAYA GUANAJUATO,PINO SUÁREZ,,-100.8924262,20.5546875
FRAUDE,CELAYA,2025,ENERO,20,LOS OLIVOS CELAYA GUANAJUATO,CALLE SIERRA DEL ESPADAN,,-100.7705033,20.551363
DAÑOS,CELAYA,2025,ENERO,24,PUERTAS DE SANTA MARÍA CELAYA GUANAJUATO,SIN REFERENCIA NÚMERO 396,,-100.8024732,20.5604933
OTROS DELITOS,CELAYA,2025,ENERO,24,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,CALLE PARAÍSO,,-100.7955604,20.5049271
VIOLACION,CELAYA,2025,ENERO,24,LA CANTERA CELAYA GUANAJUATO,VILLA MARINO,,-100.8549533,20.5362449
DAÑOS,CELAYA,2025,ENERO,21,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,,-100.815822,20.5027258
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,24,BRISAS DEL VALLE MOCTEZUMA CELAYA GUANAJUATO,CIRCUITO LAGOS,,-100.791681,20.5448408
OTROS DELITOS,CELAYA,2025,ENERO,19,SAN ISIDRO GUANAJUATO,AVENIDA DEL TRABAJO,,-100.7869092,20.6278876
DAÑOS,CELAYA,2025,ENERO,19,LAS ARBOLEDAS CELAYA GUANAJUATO,PASEO DE SAN NICOLÁS DE PARRA,,-100.8276049,20.5107271
ROBOS DIVERSOS,CELAYA,2025,ENERO,20,PLANCARTE GUANAJUATO,CAMINO A PLANCARTE,SIN VIOLENCIA,-100.79722,20.5911654
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,22,JACARANDAS CELAYA GUANAJUATO,ESCUADRÓN 201,,-100.8221662,20.5090184
OTROS DELITOS,CELAYA,2025,ENERO,20,EL VERGEL CELAYA GUANAJUATO,DIVISIÓN DEL NORTE,,-100.803944,20.5153022
LESIONES DOLOSAS,CELAYA,2025,ENERO,21,COLONIA MAGNO CELAYA GUANAJUATO,LUIS DONALDO COLOSIO,,-100.845493,20.5474323
CONTRA LA SALUD,CELAYA,2025,ENERO,22,EL VERGEL CELAYA GUANAJUATO,DIVISIÓN DEL NORTE,,-100.803944,20.5153022
DAÑOS,CELAYA,2025,ENERO,22,LA JOYA CELAYA GUANAJUATO,CALLE FERROCARRIL CENTRAL,,-100.8280179,20.5305702
AMENAZAS,CELAYA,2025,ENERO,22,LAZARO CARDENAS CELAYA GUANAJUATO,PLAN DEL CARMEN,,-100.8261271,20.5580457
DAÑOS,CELAYA,2025,ENERO,6,RANCHO SECO CELAYA GUANAJUATO,DOLORES HIDALGO,,-100.8111649,20.4960748
OTROS DELITOS,CELAYA,2025,ENERO,7,TECNOLOGICO CELAYA GUANAJUATO,ADMINISTRADORES,,-100.8078459,20.5443684
DAÑOS,CELAYA,2025,ENERO,7,LAS DELICIAS CELAYA GUANAJUATO,LIBRAMIENTO NORORIENTE,,-100.7796634,20.5178469
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,1,SANTA RITA CELAYA GUANAJUATO,CELAYA,,-100.7873129,20.5485779
LESIONES DOLOSAS,CELAYA,2025,ENERO,2,SAN JUAN DE LA VEGA SAN JUAN DE LA VEGA GUANAJUATO,CALLE 5 DE MAYO ORIENTE,,-100.7616943,20.6243021
ROBOS DIVERSOS,CELAYA,2025,ENERO,2,BARRIO DEL ZAPOTE CELAYA GUANAJUATO,TENOCHTITLAN,SIN VIOLENCIA,-100.8057376,20.5258598
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,3,VALLE HERMOSO CELAYA GUANAJUATO,CAMELIA,,-100.82233,20.542399
OTROS DELITOS,CELAYA,2025,ENERO,22,LINDAVISTA CELAYA GUANAJUATO,JAZMÍN,,-100.8243382,20.5454355
CONTRA LA SALUD,CELAYA,2025,ENERO,23,LOS OLIVOS CELAYA GUANAJUATO,AVENIDA BALEARES,,-100.7718166,20.5518247
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,24,VILLA LOS ÁLAMOS LA PALMITA GUANAJUATO,TABACHINES,,-100.877624,20.4977978
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,21,EJIDAL CELAYA GUANAJUATO,EJIDO LOS AGUIRRE,,-100.8242688,20.5076311
ROBOS DIVERSOS,CELAYA,2025,ENERO,22,EJIDAL CELAYA GUANAJUATO,EJIDO CERRO PRIETO,SIN VIOLENCIA,-100.8265066,20.5080821
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,22,CIUDAD INDUSTRIAL DE CELAYA CELAYA GUANAJUATO,CALLE PONIENTE 4,SIN VIOLENCIA,-100.8141726,20.5546308
LESIONES DOLOSAS,CELAYA,2025,ENERO,23,CELAYA GUANAJUATO,GRULLA,,-100.7859614,20.5354711
FRAUDE,CELAYA,2025,ENERO,24,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
OTROS DELITOS,CELAYA,2025,ENERO,19,SAN RAFAEL CELAYA GUANAJUATO,LAS PALMAS,,-100.8363121,20.5021672
AMENAZAS,CELAYA,2025,ENERO,19,JACARANDAS CELAYA GUANAJUATO,CERRO DE LAS CAMPAÑAS,,-100.8198782,20.5081397
