delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,20,COLONIA DEL PARQUE CELAYA GUANAJUATO,PARQUE DEL TULIPÁN,CON VIOLENCIA,-100.8248687,20.538355
ROBO A TRANSEUNTE,CELAYA,2025,ENERO,20,LOS FRAILES CELAYA GUANAJUATO,VASCO DE QUIROGA,CON VIOLENCIA,-100.8080904,20.5097424
VIOLACION,CELAYA,2025,ENERO,20,CELAYA GUANAJUATO,CALLE REFORMA AGRARIA,,-100.8314426,20.5042357
CONTRA LA SALUD,CELAYA,2025,ENERO,21,LAS CASAS CELAYA GUANAJUATO,CASA DEL DIEZMO,,-100.8459422,20.5503698
LESIONES DOLOSAS,CELAYA,2025,ENERO,20,LA AURORA CELAYA GUANAJUATO,JOSÉ MARÍA PINO SUÁREZ,,-100.8089975,20.5159426
ROBO A NEGOCIO,CELAYA,2025,ENERO,21,CELAYA GUANAJUATO,REAL DE LOS MEZQUITES,CON VIOLENCIA,-100.8658625,20.5457111
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,22,GALAXIAS DEL PARQUE CELAYA GUANAJUATO,CALLE EI ARENAL,,-100.8420447,20.5602305
CONTRA LA SALUD,CELAYA,2025,ENERO,21,SAN MARTIN DE CAMARGO CELAYA GUANAJUATO,EMILIANO ZAPATA,,-100.8045238,20.5573976
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2025,ENERO,22,VALLE DE LOS NARANJOS CELAYA GUANAJUATO,DE LAS MONTAÑAS,,-100.8494653,20.5555967
OTROS DELITOS,CELAYA,2025,ENERO,2,VILLAS DEL ROMERAL CELAYA GUANAJUATO,VILLA UNIÓN,,-100.8055645,20.4973978
ROBOS DIVERSOS,CELAYA,2025,ENERO,3,SAN JUAN CELAYA GUANAJUATO,LUCAS FLORES,SIN VIOLENCIA,-100.8207767,20.5133823
OTROS DELITOS,CELAYA,2025,ENERO,3,LOS OLIVOS CELAYA GUANAJUATO,VALLE DEL HUASCO,,-100.7731903,20.5474345
ROBOS DIVERSOS,CELAYA,2025,ENERO,4,CELAYA GUANAJUATO,CDA VILLA DEL ALBA,CON VIOLENCIA,-100.8220697,20.4937646
CONTRA LA SALUD,CELAYA,2025,ENERO,4,GALAXIAS DEL PARQUE CELAYA GUANAJUATO,ANDADOR CEFEO,,-100.8447081,20.5591416
OTROS DELITOS,CELAYA,2025,ENERO,5,VILLA LOS ÁLAMOS CELAYA GUANAJUATO,CALLE BINNIZA,,-100.8591868,20.5259588
OTROS DELITOS,CELAYA,2025,ENERO,22,LINDAVISTA CELAYA GUANAJUATO,DALIA,,-100.8233091,20.5442815
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2025,ENERO,22,LINDAVISTA CELAYA GUANAJUATO,JAZMÍN,,-100.8243382,20.5454355
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,23,LOS NARANJOS CELAYA GUANAJUATO,MANZANOS,,-100.8480995,20.5541822
ROBOS DIVERSOS,CELAYA,2025,ENERO,23,JARDINES DE CELAYA 1RA SECCIÓN CELAYA GUANAJUATO,PUERTA DE ORO DEL BAJIO,CON VIOLENCIA,-100.794478,20.5187591
OTROS DELITOS,CELAYA,2025,ENERO,19,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,,-100.815822,20.5027258
AMENAZAS,CELAYA,2025,ENERO,19,RANCHO SECO CELAYA GUANAJUATO,AVENIDA LÁZARO CÁRDENAS DEL RÍO,,-100.8096141,20.4911975
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2025,ENERO,20,VALLE DE LOS NARANJOS CELAYA GUANAJUATO,DE LAS MONTAÑAS,,-100.8494653,20.5555967
OTROS DELITOS,CELAYA,2025,ENERO,22,TIERRA Y LIBERTAD CELAYA GUANAJUATO,ZACATEPEC,,-100.8032559,20.546891
CONTRA LA SALUD,CELAYA,2025,ENERO,22,FRACCIONAMIENTO DE DON GU CELAYA GUANAJUATO,CALLE CARRUAJE,,-100.8474689,20.5579457
OTROS DELITOS,CELAYA,2025,ENERO,23,GASCA GUANAJUATO,FRANCISCO VILLA,,-100.8561021,20.6046247
DAÑOS,CELAYA,2025,ENERO,23,¿¿¿¿¿ ¿¿ CELAYA GUANAJUATO,LATERAL CELAYA - VILLAGRAN,,-100.8546402,20.5194522
OTROS DELITOS,CELAYA,2025,ENERO,23,LA HERRADURA CELAYA GUANAJUATO,COLONIA,,-100.7816294,20.5519952
ROBOS DIVERSOS,CELAYA,2025,ENERO,23,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA,-100.8212707,20.519439
ROBOS DIVERSOS,CELAYA,2025,ENERO,23,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,SIN VIOLENCIA,-100.8247463,20.5357183
FRAUDE,CELAYA,2025,ENERO,24,LAS FLORES CELAYA GUANAJUATO,CLAVEL,,-100.8160994,20.5042772
CONTRA LA SALUD,CELAYA,2025,ENERO,20,SANTA RITA CELAYA GUANAJUATO,CHETUMAL,,-100.7888683,20.5478261
DAÑOS,CELAYA,2025,ENERO,20,BARRIO DEL ZAPOTE CELAYA GUANAJUATO,FRANCISCO I. MADERO,,-100.8037056,20.5222756
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,20,LA TRINIDAD GUANAJUATO,SAN MIGUEL,,-100.7838446,20.5655677
ROBO A CASA HABITACIÓN,CELAYA,2025,ENERO,20,VILLAS DEL BAJIO I CELAYA GUANAJUATO,VILLA DE OBREGÓN,SIN VIOLENCIA,-100.864797,20.558624
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2025,ENERO,20,LINDAVISTA CELAYA GUANAJUATO,DALIA,,-100.8233091,20.5442815
ROBOS DIVERSOS,CELAYA,2025,ENERO,21,INT. 1 Y 2 CIUDAD INDUSTRIAL DE CELAYA CELAYA GUANAJUATO,AVENIDA TECNOLÓGICO,CON VIOLENCIA,-100.8204568,20.5541435
DAÑOS,CELAYA,2025,ENERO,6,ALAMOS CELAYA GUANAJUATO,CALLE RUISEÑOR,,-100.8485886,20.5281578
LESIONES DOLOSAS,CELAYA,2025,ENERO,7,EX. HDA. STA. MARIA DEL REFUGIO CELAYA GUANAJUATO,BOULEVARD JUAN PABLO II,,-100.828459,20.496356
LESIONES DOLOSAS,CELAYA,2025,ENERO,7,LAS ARBOLEDAS CELAYA GUANAJUATO,PASEO DE SAN NICOLÁS DE PARRA,,-100.8276049,20.5107271
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,22,CELAYA GUANAJUATO,AVENIDA BALEARES,,-100.7718166,20.5518247
DAÑOS,CELAYA,2025,ENERO,23,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,,-100.8247463,20.5357183
ROBO A CASA HABITACIÓN,CELAYA,2025,ENERO,23,LOS LAURELES CELAYA GUANAJUATO,ENCINO,SIN VIOLENCIA,-100.830489,20.5332716
CONTRA LA SALUD,CELAYA,2025,ENERO,23,LA HERRADURA CELAYA GUANAJUATO,AJO PONIENTE,,-100.7807152,20.5531816
ROBO A CASA HABITACIÓN,CELAYA,2025,ENERO,23,VILLAS DEL ROMERAL CELAYA GUANAJUATO,VILLA DE LA PAZ,SIN VIOLENCIA,-100.8073672,20.4997302
OTROS DELITOS,CELAYA,2025,ENERO,15,SAN JUANICO CELAYA GUANAJUATO,CRISOLITA,,-100.8373176,20.537572
OTROS DELITOS,CELAYA,2025,ENERO,24,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,,-100.815822,20.5027258
ROBOS DIVERSOS,CELAYA,2025,ENERO,20,COLONIA CENTRO CELAYA GUANAJUATO,VICENTE RIVA PALACIOS,SIN VIOLENCIA,-100.8098975,20.5253946
OTROS DELITOS,CELAYA,2025,ENERO,22,GOEVILLAS DE LOS SAUCES CELAYA GUANAJUATO,BANIANO,,-100.8604751,20.5577244
OTROS DELITOS,CELAYA,2025,ENERO,23,VALLE DEL REAL CELAYA GUANAJUATO,REAL DEL POTOSÍ,,-100.845366,20.5255059
AMENAZAS,CELAYA,2025,ENERO,20,EJIDAL CELAYA GUANAJUATO,PASEO DE SAN NICOLÁS DE PARRA,,-100.8304293,20.5091132
ROBOS DIVERSOS,CELAYA,2025,ENERO,20,VILLAS DEL ROCIO CELAYA GUANAJUATO,LEONA VICARIO,SIN VIOLENCIA,-100.8160212,20.5121465
OTROS DELITOS,CELAYA,2025,ENERO,20,VALLE DE LOS NARANJOS CELAYA GUANAJUATO,DE LOS RÍOS,,-100.8557467,20.5576896
OTROS DELITOS,CELAYA,2025,ENERO,22,YUSTIS GUANAJUATO,MIGUEL HIDALGO,,-100.8634917,20.582014
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,24,CAMPESTRE DE CELAYA CELAYA GUANAJUATO,LIBRAMIENTO NORORIENTE,SIN VIOLENCIA,-100.7785714,20.5224034
VIOLACION,CELAYA,2025,ENERO,24,LOS OLIVOS CELAYA GUANAJUATO,CIRCUITO VALLE CENTRAL,,-100.7703548,20.5463274
LESIONES DOLOSAS,CELAYA,2025,ENERO,24,GUANAJUATO,PROLONGACIÓN ALDAMA,,-100.7645594,20.530682
LESIONES DOLOSAS,CELAYA,2025,ENERO,20,CELAYA GUANAJUATO,AVENIDA IRRIGACIÓN,,-100.7992298,20.5366886
LESIONES DOLOSAS,CELAYA,2025,ENERO,22,CELAYA GUANAJUATO,BOULEVARD JUAN PABLO II,,-100.828459,20.496356
ROBOS DIVERSOS,CELAYA,2025,ENERO,20,EL VERGEL CELAYA GUANAJUATO,REFORMA,SIN VIOLENCIA,-100.8049302,20.5172673
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,20,CELAYA GUANAJUATO,BENITO JUAREZ,,-100.8042362,20.5386954
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,6,LAGOS CELAYA GUANAJUATO,MONTE EVEREST,,-100.834653,20.5137748
HOMICIDIO DOLOSO,CELAYA,2025,ENERO,3,BARRIO DE LA CRUZ RINCÓN DE TAMAYO GUANAJUATO,LICENCIADO ADOLFO LÓPEZ MATEOS,,-100.753069,20.4246108
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2025,ENERO,16,PRIMERA FRACCIÓN DE CRESPO GUANAJUATO,NARANJO,,-100.8551492,20.491189
OTROS DELITOS,CELAYA,2025,ENERO,19,3 GUERRAS CELAYA GUANAJUATO,CALLE GUADALUPE,,-100.7907042,20.5151721
LESIONES DOLOSAS,CELAYA,2025,ENERO,20,EJIDAL CELAYA GUANAJUATO,PASEO DE SAN NICOLÁS DE PARRA,,-100.8304293,20.5091132
OTROS DELITOS SEXUALES,CELAYA,2025,ENERO,21,LA MISION CELAYA GUANAJUATO,MISIÓN DE SAN IGNACIO,,-100.8315214,20.549029
OTROS DELITOS,CELAYA,2025,ENERO,21,SIN NOMBRE CELAYA GUANAJUATO,EJE NOR-PONIENTE MANUEL J. CLOUTHIER,,-100.8452432,20.5374909
ROBOS DIVERSOS,CELAYA,2025,ENERO,21,LAS FLORES CELAYA GUANAJUATO,NOCHEBUENA,CON VIOLENCIA,-100.815558,20.5020049
ROBOS DIVERSOS,CELAYA,2025,ENERO,24,LAS INSURGENTES CELAYA GUANAJUATO,JOSEFA MATAMOROS,CON VIOLENCIA,-100.7978162,20.5264877
CONTRA LA SALUD,CELAYA,2025,ENERO,20,VILLAS DE LA HACIENDA CELAYA GUANAJUATO,VILLA DE REYES,,-100.8317281,20.5507434
HOMICIDIO DOLOSO,CELAYA,2025,ENERO,20,CELAYA GUANAJUATO,AVENIDA BADAJOZ,,-100.7745297,20.551128
ROBO A NEGOCIO,CELAYA,2025,ENERO,20,CELAYA GUANAJUATO,REVOLUCIÓN AGRARIA,SIN VIOLENCIA,-100.7957913,20.5389203
ROBOS DIVERSOS,CELAYA,2025,ENERO,21,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,SIN VIOLENCIA,-100.815822,20.5027258
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,22,CELAYA GUANAJUATO,BOULEVARD VILLA DE LOS ARCOS,,-100.8226781,20.491849
"DE LOS DELITOS DE FALSIFICACION, CONTRA LA FE PUBLICA E INFORMATICOS",CELAYA,2025,ENERO,24,LOS PINOS CELAYA GUANAJUATO,TULE,,-100.8420787,20.5402785
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,19,CELAYA SANTA MARIA GUANAJUATO,NO CATALOGADO,SIN VIOLENCIA,-100.8397295,20.5533009
OTROS DELITOS,CELAYA,2025,ENERO,20,PRIMERA FRACCIÓN DE CRESPO GUANAJUATO,HIDALGO,,-100.8514677,20.4965551
ABUSO DE CONFIANZA,CELAYA,2025,ENERO,21,VALLE HERMOSO CELAYA GUANAJUATO,MELCHOR OCAMPO,,-100.8253699,20.5426039
OTROS DELITOS,CELAYA,2025,ENERO,21,EL CAMPANARIO CELAYA GUANAJUATO,PASEO DEL CAMPANARIO,,-100.8348525,20.5573771
AMENAZAS,CELAYA,2025,ENERO,2,RESIDENCIAL ARBOLEDAS CELAYA GUANAJUATO,BOSQUES DE CHAPULTEPEC,,-100.8283116,20.5181296
AMENAZAS,CELAYA,2025,ENERO,2,JARDINES DE CELAYA 1 RA SECCIÓN CELAYA GUANAJUATO,BOULEVARD ADOLFO LÓPEZ MATEOS,,-100.813248,20.5193955
HOMICIDIO DOLOSO,CELAYA,2025,ENERO,3,VILLAS DEL ROMERAL CELAYA GUANAJUATO,V.DE REYES,,-100.8079415,20.4983709
OTROS DELITOS,CELAYA,2025,ENERO,10,SAN ANTONIO CELAYA GUANAJUATO,CALLE PADRE INSURGENTES,,-100.8184118,20.5294093
OTROS DELITOS,CELAYA,2025,ENERO,17,VALLE DE GIRASOLES CELAYA GUANAJUATO,VALLE DEL CARMEN,,-100.8406704,20.5311212
OTROS DELITOS SEXUALES,CELAYA,2025,ENERO,18,EJIDAL CELAYA GUANAJUATO,EJIDO LOS AGUIRRE,,-100.8242688,20.5076311
ROBO A CASA HABITACIÓN,CELAYA,2025,ENERO,18,VILLAS DEL BAJIO I CELAYA GUANAJUATO,AVENIDA EL SAUZ,CON VIOLENCIA,-100.8640582,20.5601316
ROBOS DIVERSOS,CELAYA,2025,ENERO,14,VALLE DE LOS NARANJOS CELAYA GUANAJUATO,LOS NARANJOS,SIN VIOLENCIA,-100.8492559,20.5542049
AMENAZAS,CELAYA,2025,ENERO,15,GUANAJUATO,LIBRAMIENTO SUR DE CELAYA,,-100.8161182,20.4841658
OTROS DELITOS,CELAYA,2025,ENERO,15,JARDINES DE CELAYA 1RA SECCIÓN CELAYA GUANAJUATO,ENCINOS,,-100.7991241,20.5153285
OTROS DELITOS,CELAYA,2025,ENERO,8,SAN JUANICO CELAYA GUANAJUATO,CALLE DIAMANTE,,-100.8374132,20.5402071
HOMICIDIO CULPOSO,CELAYA,2025,ENERO,11,RINCONADA DEL BOSQUE CELAYA GUANAJUATO,DEL BOSQUE,,-100.8421601,20.551702
ROBO A NEGOCIO,CELAYA,2025,ENERO,13,BAJIO DE LAS AMERICAS CELAYA GUANAJUATO,CALLE FERROCARRIL CENTRAL,SIN VIOLENCIA,-100.8248137,20.5317145
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2025,ENERO,13,FRACCIONAMIENTO DEL BOSQUE CELAYA GUANAJUATO,JACARANDAS,,-100.7963405,20.5083912
OTROS DELITOS,CELAYA,2025,ENERO,13,BRISAS DEL VALLE MOCTEZUMA CELAYA GUANAJUATO,CIRCUITO VALLE,,-100.790473,20.5444771
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,13,COLONIA PEDRO MARÍA ANAYA GUANAJUATO,MOLINO DEL REY,,-100.877251,20.5263507
DAÑOS,CELAYA,2025,ENERO,13,CIUDAD INDUSTRIAL DE CELAYA CELAYA GUANAJUATO,AVENIDA TECNOLÓGICO,,-100.8227234,20.5523856
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,13,EJIDAL CELAYA GUANAJUATO,EJIDO DE SANTA ANITA,,-100.8252796,20.5074722
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2025,ENERO,7,LAS INSURGENTES CELAYA GUANAJUATO,LOS PINOS,,-100.7935733,20.5201514
OTROS DELITOS,CELAYA,2025,ENERO,7,CAMPO AZUL CELAYA GUANAJUATO,CALLE GRANADA,,-100.8308241,20.4912155
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,7,CELAYA GUANAJUATO,CACAO,CON VIOLENCIA,-100.798738,20.5606779
AMENAZAS,CELAYA,2025,ENERO,13,LA CALESA CELAYA GUANAJUATO,ATARDECER,,-100.8449825,20.554806
OTROS DELITOS,CELAYA,2025,ENERO,9,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
LESIONES DOLOSAS,CELAYA,2025,ENERO,20,VALLE HERMOSO CELAYA GUANAJUATO,AZALEA,,-100.8215506,20.5424542
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2025,ENERO,21,INDUSTRIAL CELAYA GUANAJUATO,DE LA CONSTRUCCIÓN,,-100.8067401,20.5485479
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,21,CELAYA GUANAJUATO,CÍRCULO POLITÉCNICO,,-100.8396472,20.4993409
OTROS DELITOS,CELAYA,2025,ENERO,21,MONTE BLANCO CELAYA GUANAJUATO,SANTA TERESA,,-100.8303106,20.5085961
LESIONES DOLOSAS,CELAYA,2025,ENERO,22,LAS FLORES CELAYA GUANAJUATO,HELIOTROPO,,-100.815822,20.5027258
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2025,ENERO,13,CELAYA GUANAJUATO,CERRADA VILLA DEL SILENCIO,,-100.8235657,20.4915153
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,13,GUANAJUATO,BOULEVARD JUAN PABLO II,,-100.828459,20.496356
ROBO A NEGOCIO,CELAYA,2025,ENERO,13,SAN CAYETANO GUANAJUATO,AVENIDA JUÁREZ,SIN VIOLENCIA,-100.8184694,20.6033518
AMENAZAS,CELAYA,2025,ENERO,7,EMILIANO ZAPATA CELAYA GUANAJUATO,MIGUEL ALEMÁN,,-100.7938246,20.5454903
OTROS DELITOS,CELAYA,2025,ENERO,7,CELAYA GUANAJUATO,PETIRROJO,,-100.7866468,20.5350057
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2025,ENERO,8,LAGOS CELAYA GUANAJUATO,LAGO DE CHAPULTEPEC,,-100.8359263,20.5093277
ROBOS DIVERSOS,CELAYA,2025,ENERO,8,COLONIA DEL PARQUE CELAYA GUANAJUATO,AVENIDA JUAN JOSÉ TORRES LANDA,SIN VIOLENCIA,-100.8247463,20.5357183
ROBO A CASA HABITACIÓN,CELAYA,2025,ENERO,8,LA HERRADURA CELAYA GUANAJUATO,COLONIA,SIN VIOLENCIA,-100.7816294,20.5519952
OTROS DELITOS,CELAYA,2025,ENERO,8,GIRASOLES CELAYA GUANAJUATO,EUCALIPTO,,-100.838043,20.5256692
FRAUDE,CELAYA,2025,ENERO,8,LA CALESA CELAYA GUANAJUATO,SAN DIEGO,,-100.8440018,20.5554759
ROBOS DIVERSOS,CELAYA,2025,ENERO,9,VALLE DE LOS NARANJOS CELAYA GUANAJUATO,DEL BOSQUE,SIN VIOLENCIA,-100.8508677,20.5542277
OTROS DELITOS,CELAYA,2025,ENERO,10,BARRIO DE SANTO CRISTO CELAYA GUANAJUATO,NICOLÁS BRAVO,,-100.8258632,20.5205243
FRAUDE,CELAYA,2025,ENERO,10,RESURRECCIÓN CELAYA GUANAJUATO,FRANCISCO VILLA,,-100.8109478,20.5123832
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,13,RENACIMIENTO CELAYA GUANAJUATO,MIGUEL HIDALGO,SIN VIOLENCIA,-100.8346745,20.5207954
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2025,ENERO,11,CAMPO AZUL SIENNA CELAYA GUANAJUATO,NOGAL,,-100.8342054,20.4897569
HOMICIDIO DOLOSO,CELAYA,2025,ENERO,11,EL PARAISO CELAYA GUANAJUATO,GRANJENO,,-100.8314766,20.5624836
VIOLENCIA FAMILIAR,CELAYA,2025,ENERO,12,SANTA MARÍA DEL REFUGIO GUANAJUATO,FRANCISCO VILLA,,-100.8001821,20.4399994
AMENAZAS,CELAYA,2025,ENERO,7,LOS OLIVOS CELAYA GUANAJUATO,VALLE DEL HUASCO,,-100.7731903,20.5474345
ROBO DE VEHÍCULO,CELAYA,2025,ENERO,8,NO CATALOGADO,NO CATALOGADO,CON VIOLENCIA,-100.8212707,20.519439
AMENAZAS,CELAYA,2025,ENERO,9,EJIDAL CELAYA GUANAJUATO,EJIDO SAN FELIPE,,-100.8292496,20.5060845
AMENAZAS,CELAYA,2025,ENERO,8,LOS OLIVOS CELAYA GUANAJUATO,CIRCUITO CAMPIÑA,,-100.7678009,20.5511852
