delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,23,NO CATALOGADO,NO CATALOGADO,CON VIOLENCIA,-100.8212707,20.519439
ROBO A NEGOCIO,CELAYA,2022,FEBRERO,16,REAL DE ARBOLEDAS,CALLE PASEO REAL DE ARBOLEDAS,CON VIOLENCIA,-100.8411324,20.5115288
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,16,CUAUHTEMOC,AVENIDA IRRIGACIÓN,SIN VIOLENCIA,-100.7992298,20.5366886
FRAUDE,CELAYA,2022,FEBRERO,16,ZONA CENTRO,CALLE JOSÉ MARÍA MORELOS,,-100.8112885,20.5279612
OTROS DELITOS,CELAYA,2022,FEBRERO,27,DE SANTO CRISTO,PROLONGACIÓN MIGUEL HIDALGO,,-100.8259033,20.5212383
CONTRA LA SALUD,CELAYA,2022,FEBRERO,27,SANTA MARIA,CALLE ESCOBEDO,,-100.8181172,20.4989978
DAÑOS,CELAYA,2022,FEBRERO,9,SAN JOSE DE GUANAJUATO,NO CATALOGADO,,-100.8924274,20.5559285
HOMICIDIO DOLOSO,CELAYA,2022,FEBRERO,9,LUIS DONALDO COLOSIO,CALLE SEDESOL,,-100.7646251,20.5677765
HOMICIDIO DOLOSO,CELAYA,2022,FEBRERO,15,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
DAÑOS,CELAYA,2022,FEBRERO,15,SIENA II,LIBRAMIENTO SUR,,-100.8112885,20.5279612
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,15,RESIDENCIAL CELAYA,CALLE MUTUALISMO,SIN VIOLENCIA,-100.8233821,20.5139016
VIOLENCIA FAMILIAR,CELAYA,2022,FEBRERO,15,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
LESIONES DOLOSAS,CELAYA,2022,FEBRERO,20,LAS HUERTAS,CALLE HUERTA DE LOS DURAZNOS,,-100.8761598,20.5246465
VIOLENCIA FAMILIAR,CELAYA,2022,FEBRERO,20,EL ATRIO,CIRCUITO SAN PEDRO,,-100.8374813,20.5543146
ROBOS DIVERSOS,CELAYA,2022,FEBRERO,21,ALAMOS,CALLE FLOR DEL LOTO,SIN VIOLENCIA,-100.8514965,20.5291103
