delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
OTROS DELITOS,CELAYA,2023,ENERO,20,JAUREGUI GUANAJUATO,NO CATALOGADO,,-100.7205558,20.5929784
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,20,BARRIO DEL ZAPOTE CELAYA GUANAJUATO,XICHÚ,,-100.8055551,20.5241935
AMENAZAS,CELAYA,2023,ENERO,19,GUANAJUATO,GUADALUPE VICTORIA,,-100.8125696,20.5178873
OTROS DELITOS,CELAYA,2023,ENERO,20,ROQUE GUANAJUATO,NO CATALOGADO,,-100.8385324,20.5812572
OTROS DELITOS,CELAYA,2023,ENERO,19,SAN MIGUEL OCTOPAN GUANAJUATO,FRANCISCO I. MADERO,,-100.776313,20.5107992
ROBOS DIVERSOS,CELAYA,2023,ENERO,29,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA,-100.8212707,20.519439
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,23,LAGOS CELAYA GUANAJUATO,LAGO DE ZIRAHUEN,,-100.8340668,20.5098518
AMENAZAS,CELAYA,2023,ENERO,30,VILLAS DEL BAJIO IV CELAYA GUANAJUATO,PROLONGACIÓN AVENIDA LAS TORRES,,-100.8688141,20.5624594
LESIONES DOLOSAS,CELAYA,2023,ENERO,23,ALAMEDA CELAYA GUANAJUATO,20 DE NOVIEMBRE,,-100.8098371,20.5310865
CONTRA LA SALUD,CELAYA,2023,ENERO,31,LAS DELICIAS CELAYA GUANAJUATO,LIBRAMIENTO NORORIENTE,,-100.7796634,20.5178469
OTROS DELITOS,CELAYA,2023,ENERO,10,GIRASOLES CELAYA GUANAJUATO,DE BUGAMBILIA,,-100.8380839,20.5245032
OTROS DELITOS SEXUALES,CELAYA,2023,ENERO,10,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,20,LA ESPERANZA CELAYA GUANAJUATO,FELIPE ANGELES,,-100.7861161,20.5556944
OTROS DELITOS,CELAYA,2023,ENERO,28,GIRASOLES CELAYA GUANAJUATO,MEZQUITE,,-100.837938,20.5253044
LESIONES DOLOSAS,CELAYA,2023,ENERO,10,SAN FRANCISCO CELAYA GUANAJUATO,SAN LORENZO,,-100.806007,20.5048127
HOMICIDIO CULPOSO,CELAYA,2023,ENERO,11,LAGOS CELAYA GUANAJUATO,LAGO DE PALOMAS,,-100.8321513,20.5124353
OTROS DELITOS,CELAYA,2023,ENERO,29,SANTA MARÍA DEL REFUGIO GUANAJUATO,LIBERTAD,,-100.8001821,20.4399994
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,31,SANTIAGO DE CUENDA GUANAJUATO,JUVENTINO ROSAS - CELAYA,CON VIOLENCIA,-100.905206,20.5972835
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,18,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,31,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
HOMICIDIO DOLOSO,CELAYA,2023,ENERO,31,MOCTEZUMA CELAYA GUANAJUATO,HERMOSILLO,,-100.7894589,20.5453274
CONTRA LA SALUD,CELAYA,2023,ENERO,10,TENERÍA DEL SANTUARIO GUANAJUATO,CALLE FRONTERA,,-100.7979622,20.5960209
EXTORSION,CELAYA,2023,ENERO,10,MONTE BLANCO CELAYA GUANAJUATO,SANTA TERESA,,-100.8303106,20.5085961
AMENAZAS,CELAYA,2023,ENERO,5,RESURRECCIÓN CELAYA GUANAJUATO,DE GÓMEZ FARIAS,,-100.8121489,20.5180204
ROBO A NEGOCIO,CELAYA,2023,ENERO,18,EL CAMPANARIO CELAYA GUANAJUATO,AVENIDA LAS TORRES,CON VIOLENCIA,-100.8375334,20.5564735
CONTRA LA SALUD,CELAYA,2023,ENERO,15,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,19,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
OTROS DELITOS,CELAYA,2023,ENERO,18,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
VIOLENCIA FAMILIAR,CELAYA,2023,ENERO,16,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBO DE VEHÍCULO,CELAYA,2023,ENERO,17,NUEVO CELAYA CELAYA GUANAJUATO,12 DE OCTUBRE,CON VIOLENCIA,-100.8353339,20.5337329
